ancestry	pleio_model	result_type	pleio_run_available	comparison_complete	available_constituent_traits	missing_constituent_traits	n_terms_union	n_pleio_bonf_sig	n_any_constituent_bonf_sig	n_pleio_only_available_bonf	n_pleio_shared_bonf	n_constituent_only_bonf	n_pleio_fdr_sig	n_any_constituent_fdr_sig	n_pleio_only_available_fdr	n_pleio_shared_fdr	n_constituent_only_fdr
EUR	FOURTRAIT	competitive_gene_set	True	True	EA;CF;MDD;SCZ		17009	46	57	25	21	36	192	214	84	108	106
EUR	MDD_3TRAIT	competitive_gene_set	True	True	EA;CF;MDD		17009	40	43	21	19	24	169	173	70	99	74
EUR	SCZ_3TRAIT	competitive_gene_set	True	True	EA;CF;SCZ		17009	29	54	7	22	32	145	200	52	93	107
EAS	FOURTRAIT	competitive_gene_set	True	False	EA;MDD;SCZ	CF	17009	0	3	0	0	3	0	4	0	0	4
EAS	MDD_3TRAIT	competitive_gene_set	True	False	EA;MDD	CF	17009	0	3	0	0	3	0	4	0	0	4
EAS	SCZ_3TRAIT	competitive_gene_set	True	False	EA;SCZ	CF	17009	0	0	0	0	0	0	0	0	0	0
EUR	FOURTRAIT	gtex_v8_specific_tissue	True	True	EA;CF;MDD;SCZ		54	14	15	0	14	1	14	15	0	14	1
EUR	MDD_3TRAIT	gtex_v8_specific_tissue	True	True	EA;CF;MDD		54	14	15	0	14	1	14	15	0	14	1
EUR	SCZ_3TRAIT	gtex_v8_specific_tissue	True	True	EA;CF;SCZ		54	14	15	0	14	1	14	15	0	14	1
EAS	FOURTRAIT	gtex_v8_specific_tissue	True	False	EA;MDD;SCZ	CF	54	5	5	0	5	0	8	9	1	7	2
EAS	MDD_3TRAIT	gtex_v8_specific_tissue	True	False	EA;MDD	CF	54	5	2	3	2	0	9	2	7	2	0
EAS	SCZ_3TRAIT	gtex_v8_specific_tissue	True	False	EA;SCZ	CF	54	5	5	0	5	0	8	9	1	7	2
EUR	FOURTRAIT	gtex_v8_general_tissue	True	True	EA;CF;MDD;SCZ		30	4	4	0	4	0	4	6	0	4	2
EUR	MDD_3TRAIT	gtex_v8_general_tissue	True	True	EA;CF;MDD		30	3	4	0	3	1	5	6	0	5	1
EUR	SCZ_3TRAIT	gtex_v8_general_tissue	True	True	EA;CF;SCZ		30	2	4	0	2	2	2	6	0	2	4
EAS	FOURTRAIT	gtex_v8_general_tissue	True	False	EA;MDD;SCZ	CF	30	1	1	0	1	0	1	1	0	1	0
EAS	MDD_3TRAIT	gtex_v8_general_tissue	True	False	EA;MDD	CF	30	1	0	1	0	0	1	0	1	0	0
EAS	SCZ_3TRAIT	gtex_v8_general_tissue	True	False	EA;SCZ	CF	30	1	1	0	1	0	1	1	0	1	0
