ancestry	pleio_model	result_type	term	full_name	expected_constituent_traits	available_constituent_traits	missing_constituent_traits	comparison_complete	pleio_tested	pleio_n_genes	pleio_beta	pleio_beta_std	pleio_se	pleio_p	pleio_p_bh	pleio_bonf_threshold	pleio_bonf_sig_positive	pleio_fdr_sig_positive	ea_tested	ea_n_genes	ea_beta	ea_beta_std	ea_se	ea_p	ea_p_bh	ea_bonf_threshold	ea_bonf_sig_positive	ea_fdr_sig_positive	ea_same_beta_sign	cf_tested	cf_n_genes	cf_beta	cf_beta_std	cf_se	cf_p	cf_p_bh	cf_bonf_threshold	cf_bonf_sig_positive	cf_fdr_sig_positive	cf_same_beta_sign	mdd_tested	mdd_n_genes	mdd_beta	mdd_beta_std	mdd_se	mdd_p	mdd_p_bh	mdd_bonf_threshold	mdd_bonf_sig_positive	mdd_fdr_sig_positive	mdd_same_beta_sign	scz_tested	scz_n_genes	scz_beta	scz_beta_std	scz_se	scz_p	scz_p_bh	scz_bonf_threshold	scz_bonf_sig_positive	scz_fdr_sig_positive	scz_same_beta_sign	n_available_constituent_traits	n_missing_constituent_traits	n_constituent_bonf_sig	constituent_traits_bonf_sig	any_constituent_bonf_sig	classification_bonferroni	n_constituent_fdr_sig	constituent_traits_fdr_sig	any_constituent_fdr_sig	classification_fdr
EUR	FOURTRAIT	competitive_gene_set	BLALOCK_ALZHEIMERS_DISEASE_DN	BLALOCK_ALZHEIMERS_DISEASE_DN	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	1146.0	0.28573	0.069034	0.046317	3.514e-10	7.755459022222223e-07	2.9397930385700847e-06	True	True	True	1159	0.13599	0.032587	0.036503	9.7746e-05	0.0210450849873417	2.9396202010700218e-06	False	True	True	True	1159.0	0.12115	0.029122	0.031193	5.1606e-05	0.0179125479183673	2.9397930385700847e-06	False	True	True	True	1150.0	0.077216	0.018638	0.031179	0.006638	0.5522473186602871	2.9397930385700847e-06	False	False	True	True	1159.0	0.10859	0.026091	0.031403	0.00027296	0.0634858075675675	2.9397930385700847e-06	False	False	True	4	0	0		False	PLEIO_only_among_available_constituents	2	EA;CF	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_CELL_JUNCTION_ASSEMBLY	GOBP_CELL_JUNCTION_ASSEMBLY	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	406.0	0.37124	0.054518	0.081859	2.899e-06	0.0010718737391304	2.9397930385700847e-06	True	True	True	412	0.17549	0.025593	0.066081	0.0039601	0.2141838076190476	2.9396202010700218e-06	False	False	True	True	410.0	0.201	0.029341	0.05533	0.00014059	0.0362296169696969	2.9397930385700847e-06	False	True	True	True	408.0	0.11849	0.017395	0.055564	0.01649	0.7322765535248043	2.9397930385700847e-06	False	False	True	True	410.0	0.10639	0.015523	0.054776	0.026058	0.6867967306501549	2.9397930385700847e-06	False	False	True	4	0	0		False	PLEIO_only_among_available_constituents	1	CF	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_CHROMATIN_ORGANIZATION	GOBP_CHROMATIN_ORGANIZATION	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	552.0	0.29382	0.050107	0.064298	2.4602e-06	0.0009509791272727	2.9397930385700847e-06	True	True	True	561	0.16441	0.027866	0.050058	0.00051187	0.0630898321014492	2.9396202010700218e-06	False	False	True	True	561.0	0.13342	0.022689	0.042957	0.00094967	0.1132697118881118	2.9397930385700847e-06	False	False	True	True	556.0	0.18885	0.032232	0.044269	1.0013e-05	0.022042368	2.9397930385700847e-06	False	True	True	True	560.0	0.062336	0.010586	0.043279	0.074896	0.8268107390180879	2.9397930385700847e-06	False	False	True	4	0	0		False	PLEIO_only_among_available_constituents	1	MDD	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_MRNA_METABOLIC_PROCESS	GOBP_MRNA_METABOLIC_PROCESS	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	639.0	0.29016	0.05311	0.057711	2.5071e-07	0.0001698772123076	2.9397930385700847e-06	True	True	True	654	0.16974	0.030984	0.044451	6.731e-05	0.0161250111267605	2.9396202010700218e-06	False	True	True	True	651.0	0.11145	0.020365	0.037938	0.0016559	0.1481822	2.9397930385700847e-06	False	False	True	True	641.0	0.093635	0.017119	0.039104	0.0083262	0.5974595966386554	2.9397930385700847e-06	False	False	True	True	652.0	0.077362	0.01414	0.038266	0.021613	0.6552476007130125	2.9397930385700847e-06	False	False	True	4	0	0		False	PLEIO_only_among_available_constituents	1	EA	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_MRNA_PROCESSING	GOBP_MRNA_PROCESSING	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	419.0	0.32754	0.048846	0.070249	1.5741e-06	0.000723575481081	2.9397930385700847e-06	True	True	True	427	0.14964	0.022207	0.053872	0.0027403	0.1746575853932584	2.9396202010700218e-06	False	False	True	True	425.0	0.076313	0.011337	0.045825	0.047934	0.67080541956346	2.9397930385700847e-06	False	False	True	True	421.0	0.10375	0.015466	0.047624	0.014694	0.7160904068767909	2.9397930385700847e-06	False	False	True	True	425.0	0.032513	0.0048279	0.04684	0.24381	0.9935995402298852	2.9397930385700847e-06	False	False	True	4	0	0		False	PLEIO_only_among_available_constituents	0		False	PLEIO_only_among_available_constituents
EUR	FOURTRAIT	competitive_gene_set	GOBP_POSITIVE_REGULATION_OF_...145	GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	323.0	0.40687	0.053417	0.088346	2.0736e-06	0.0008397092571428	2.9397930385700847e-06	True	True	True	326	0.3068	0.039891	0.068397	3.6589e-06	0.0020075558096774	2.9396202010700218e-06	False	True	True	True	325.0	0.15961	0.020791	0.058731	0.003291	0.2284625632653061	2.9397930385700847e-06	False	False	True	True	323.0	0.10522	0.013776	0.059823	0.039313	0.8531768163265306	2.9397930385700847e-06	False	False	True	True	324.0	0.034561	0.0044932	0.057736	0.27472	0.9969137546076884	2.9397930385700847e-06	False	False	True	4	0	0		False	PLEIO_only_among_available_constituents	1	EA	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_POSITIVE_REGULATION_OF_...464	GOBP_POSITIVE_REGULATION_OF_MACROMOLECULE_BIOSYNTHETIC_PROCESS	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	1760.0	0.18489	0.054365	0.038474	7.7777e-07	0.0003850028068571	2.9397930385700847e-06	True	True	True	1786	0.12219	0.035699	0.030289	2.7525e-05	0.0080719435344827	2.9396202010700218e-06	False	True	True	True	1780.0	0.067927	0.019877	0.025887	0.0043495	0.2642010571428572	2.9397930385700847e-06	False	False	True	True	1767.0	0.076315	0.022424	0.026131	0.0017496	0.3234477913043478	2.9397930385700847e-06	False	False	True	True	1777.0	0.067588	0.019754	0.025704	0.0042802	0.3415746841121495	2.9397930385700847e-06	False	False	True	4	0	0		False	PLEIO_only_among_available_constituents	1	EA	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_POSITIVE_REGULATION_OF_...730	GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	1690.0	0.20615	0.059524	0.039526	9.2713e-08	8.760348355555556e-05	2.9397930385700847e-06	True	True	True	1716	0.13367	0.03836	0.03088	7.5349e-06	0.0034638138945945	2.9396202010700218e-06	False	True	True	True	1711.0	0.094309	0.027111	0.02638	0.00017558	0.0409077347945205	2.9397930385700847e-06	False	True	True	True	1697.0	0.081697	0.023574	0.026788	0.0011468	0.2516311794871795	2.9397930385700847e-06	False	False	True	True	1707.0	0.068396	0.019633	0.026307	0.0046656	0.3538495502222222	2.9397930385700847e-06	False	False	True	4	0	0		False	PLEIO_only_among_available_constituents	2	EA;CF	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_REGULATION_OF_MRNA_META...	GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	277.0	0.4062	0.049448	0.087731	1.8416e-06	0.00078304832	2.9397930385700847e-06	True	True	True	280	0.27184	0.032798	0.066765	2.3442e-05	0.0076677880384615	2.9396202010700218e-06	False	True	True	True	279.0	0.17519	0.021171	0.058115	0.0012883	0.1319964240963855	2.9397930385700847e-06	False	False	True	True	277.0	0.088754	0.010775	0.058772	0.065515	0.9216535318444996	2.9397930385700847e-06	False	False	True	True	280.0	0.21993	0.026612	0.057533	6.6224e-05	0.027511891902439	2.9397930385700847e-06	False	True	True	4	0	0		False	PLEIO_only_among_available_constituents	2	EA;SCZ	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_REGULATION_OF_RNA_SPLIC...	GOBP_REGULATION_OF_RNA_SPLICING	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	157.0	0.52375	0.048159	0.11335	1.9285e-06	0.0007999982439024	2.9397930385700847e-06	True	True	True	161	0.23756	0.021803	0.08624	0.0029404	0.1831987677655677	2.9396202010700218e-06	False	False	True	True	160.0	0.15055	0.013822	0.073392	0.020124	0.4938842954545455	2.9397930385700847e-06	False	False	True	True	158.0	0.21074	0.019385	0.078481	0.0036282	0.443945507913669	2.9397930385700847e-06	False	False	True	True	160.0	0.21797	0.020002	0.073963	0.0016065	0.1924179718309859	2.9397930385700847e-06	False	False	True	4	0	0		False	PLEIO_only_among_available_constituents	0		False	PLEIO_only_among_available_constituents
EUR	FOURTRAIT	competitive_gene_set	GOBP_REGULATION_OF_TRANS_SYN...	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	439.0	0.36886	0.056274	0.074757	4.0665e-07	0.0002470108285714	2.9397930385700847e-06	True	True	True	448	0.26314	0.039978	0.059829	5.4882e-06	0.0028287513272727	2.9396202010700218e-06	False	True	True	True	444.0	0.2207	0.033495	0.050922	7.3594e-06	0.005034436032	2.9397930385700847e-06	False	True	True	True	440.0	0.16887	0.025722	0.050614	0.00042533	0.1456190944	2.9397930385700847e-06	False	False	True	True	443.0	0.21726	0.032921	0.050405	8.1955e-06	0.0060603940869565	2.9397930385700847e-06	False	True	True	4	0	0		False	PLEIO_only_among_available_constituents	3	EA;CF;SCZ	True	PLEIO_shared_with_available_constituent
