ancestry	pleio_model	result_type	term	full_name	expected_constituent_traits	available_constituent_traits	missing_constituent_traits	comparison_complete	pleio_tested	pleio_n_genes	pleio_beta	pleio_beta_std	pleio_se	pleio_p	pleio_p_bh	pleio_bonf_threshold	pleio_bonf_sig_positive	pleio_fdr_sig_positive	ea_tested	ea_n_genes	ea_beta	ea_beta_std	ea_se	ea_p	ea_p_bh	ea_bonf_threshold	ea_bonf_sig_positive	ea_fdr_sig_positive	ea_same_beta_sign	cf_tested	cf_n_genes	cf_beta	cf_beta_std	cf_se	cf_p	cf_p_bh	cf_bonf_threshold	cf_bonf_sig_positive	cf_fdr_sig_positive	cf_same_beta_sign	mdd_tested	mdd_n_genes	mdd_beta	mdd_beta_std	mdd_se	mdd_p	mdd_p_bh	mdd_bonf_threshold	mdd_bonf_sig_positive	mdd_fdr_sig_positive	mdd_same_beta_sign	scz_tested	scz_n_genes	scz_beta	scz_beta_std	scz_se	scz_p	scz_p_bh	scz_bonf_threshold	scz_bonf_sig_positive	scz_fdr_sig_positive	scz_same_beta_sign	n_available_constituent_traits	n_missing_constituent_traits	n_constituent_bonf_sig	constituent_traits_bonf_sig	any_constituent_bonf_sig	classification_bonferroni	n_constituent_fdr_sig	constituent_traits_fdr_sig	any_constituent_fdr_sig	classification_fdr
EUR	FOURTRAIT	competitive_gene_set	BIOCARTA_FLUMAZENIL_PATHWAY	BIOCARTA_FLUMAZENIL_PATHWAY	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	8.0	2.9565	0.061616	0.58266	1.9669e-07	0.0001406845066666	2.9397930385700847e-06	True	True	True	8	2.7269	0.056016	0.39969	4.6095e-12	7.840298549999999e-08	2.9396202010700218e-06	True	True	True	True	8.0	1.2653	0.026081	0.38569	0.00051874	0.0840259992380952	2.9397930385700847e-06	False	False	True	True	8.0	0.99118	0.0206	0.37957	0.0045142	0.4859336303797468	2.9397930385700847e-06	False	False	True	True	8.0	0.16313	0.0033609	0.3543	0.3226	0.9969137546076884	2.9397930385700847e-06	False	False	True	4	0	1	EA	True	PLEIO_shared_with_available_constituent	1	EA	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_CELL_MORPHOGENESIS	GOBP_CELL_MORPHOGENESIS	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	865.0	0.25934	0.054876	0.055262	1.3579e-06	0.0006415323111111	2.9397930385700847e-06	True	True	True	875	0.23346	0.048994	0.044508	7.8879e-08	0.0001219684464545	2.9396202010700218e-06	True	True	True	True	872.0	0.18871	0.039665	0.037762	2.9357e-07	0.0004640091636363	2.9397930385700847e-06	True	True	True	True	867.0	0.072634	0.015346	0.037657	0.026885	0.8213360693240901	2.9397930385700847e-06	False	False	True	True	873.0	0.06595	0.013864	0.037307	0.03856	0.7377895290251917	2.9397930385700847e-06	False	False	True	4	0	2	EA;CF	True	PLEIO_shared_with_available_constituent	2	EA;CF	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_CELL_PART_MORPHOGENESIS	GOBP_CELL_PART_MORPHOGENESIS	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	608.0	0.33761	0.060331	0.066558	1.9852e-07	0.0001406845066666	2.9397930385700847e-06	True	True	True	617	0.29142	0.051721	0.05244	1.39e-08	3.377501428571428e-05	2.9396202010700218e-06	True	True	True	True	614.0	0.22095	0.03925	0.045024	4.6567e-07	0.0006600096133333	2.9397930385700847e-06	True	True	True	True	609.0	0.082419	0.014701	0.045115	0.033868	0.8348216579710146	2.9397930385700847e-06	False	False	True	True	615.0	0.093804	0.016669	0.044377	0.017273	0.600776487804878	2.9397930385700847e-06	False	False	True	4	0	2	EA;CF	True	PLEIO_shared_with_available_constituent	2	EA;CF	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_GENERATION_OF_NEURONS	GOBP_GENERATION_OF_NEURONS	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	1331.0	0.2717	0.070364	0.04492	7.4651e-10	1.269664208e-06	2.9397930385700847e-06	True	True	True	1356	0.19497	0.050253	0.035845	2.7088e-08	5.7592474e-05	2.9396202010700218e-06	True	True	True	True	1352.0	0.21381	0.055207	0.030536	1.3087e-12	2.2258369600000002e-08	2.9397930385700847e-06	True	True	True	True	1336.0	0.076267	0.019735	0.030397	0.0060585	0.5383203797979798	2.9397930385700847e-06	False	False	True	True	1351.0	0.10367	0.026747	0.030148	0.00029298	0.0664400511999999	2.9397930385700847e-06	False	False	True	4	0	2	EA;CF	True	PLEIO_shared_with_available_constituent	2	EA;CF	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_NEUROGENESIS	GOBP_NEUROGENESIS	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	1545.0	0.23754	0.065861	0.041647	5.9661e-09	8.4559524e-06	2.9397930385700847e-06	True	True	True	1570	0.18614	0.05131	0.0333	1.1526e-08	3.2932258833333336e-05	2.9396202010700218e-06	True	True	True	True	1566.0	0.18017	0.049759	0.028306	1.0007e-10	8.5099528e-07	2.9397930385700847e-06	True	True	True	True	1550.0	0.071461	0.019793	0.02829	0.0057727	0.5278606537634409	2.9397930385700847e-06	False	False	True	True	1565.0	0.098311	0.027132	0.028002	0.00022393	0.0573626531343283	2.9397930385700847e-06	False	False	True	4	0	2	EA;CF	True	PLEIO_shared_with_available_constituent	2	EA;CF	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_NEURON_DEVELOPMENT	GOBP_NEURON_DEVELOPMENT	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	1020.0	0.25345	0.05798	0.050478	2.5969e-07	0.0001698772123076	2.9397930385700847e-06	True	True	True	1038	0.20538	0.046732	0.040515	2.017e-07	0.0002287143533333	2.9396202010700218e-06	True	True	True	True	1035.0	0.18464	0.042091	0.03424	3.5162e-08	0.0001196070592	2.9397930385700847e-06	True	True	True	True	1024.0	0.047282	0.010808	0.034197	0.083399	0.97649819372442	2.9397930385700847e-06	False	False	True	True	1036.0	0.083775	0.019097	0.033818	0.0066255	0.428019747368421	2.9397930385700847e-06	False	False	True	4	0	2	EA;CF	True	PLEIO_shared_with_available_constituent	2	EA;CF	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_SYNAPSE_ORGANIZATION	GOBP_SYNAPSE_ORGANIZATION	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	421.0	0.41645	0.062251	0.078258	5.2124e-08	5.5407812e-05	2.9397930385700847e-06	True	True	True	424	0.29615	0.0438	0.062841	1.2313e-06	0.000837727268	2.9396202010700218e-06	True	True	True	True	423.0	0.29533	0.043773	0.052761	1.1046e-08	6.2623456e-05	2.9397930385700847e-06	True	True	True	True	423.0	0.15657	0.023395	0.052787	0.0015105	0.2886582471910112	2.9397930385700847e-06	False	False	True	True	423.0	0.18673	0.027664	0.052027	0.00016635	0.0463816524590164	2.9397930385700847e-06	False	True	True	4	0	2	EA;CF	True	PLEIO_shared_with_available_constituent	3	EA;CF;SCZ	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_SYNAPTIC_SIGNALING	GOBP_SYNAPTIC_SIGNALING	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	709.0	0.2992	0.057573	0.059755	2.7909e-07	0.0001758060266666	2.9397930385700847e-06	True	True	True	719	0.20003	0.038215	0.048138	1.6318e-05	0.0061946778	2.9396202010700218e-06	False	True	True	True	715.0	0.16566	0.031668	0.040594	2.2534e-05	0.0098271351794871	2.9397930385700847e-06	False	True	True	True	710.0	0.12969	0.024905	0.040498	0.00068297	0.2048359971929824	2.9397930385700847e-06	False	False	True	True	713.0	0.18798	0.03587	0.040431	1.6776e-06	0.0015851456	2.9397930385700847e-06	True	True	True	4	0	1	SCZ	True	PLEIO_shared_with_available_constituent	3	EA;CF;SCZ	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOCC_AXON	GOCC_AXON	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	594.0	0.31757	0.056113	0.065709	6.7892e-07	0.0003549518060606	2.9397930385700847e-06	True	True	True	601	0.13981	0.0245	0.052649	0.0039628	0.2141838076190476	2.9396202010700218e-06	False	False	True	True	600.0	0.13392	0.023526	0.044862	0.0014193	0.1357015344262295	2.9397930385700847e-06	False	False	True	True	595.0	0.17631	0.031095	0.0446	3.8745e-05	0.03660972	2.9397930385700847e-06	False	True	True	True	600.0	0.21344	0.037479	0.044436	7.8644e-07	0.0009554122514285	2.9397930385700847e-06	True	True	True	4	0	1	SCZ	True	PLEIO_shared_with_available_constituent	2	MDD;SCZ	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOCC_DENDRITIC_TREE	GOCC_DENDRITIC_TREE	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	570.0	0.34599	0.059929	0.066832	1.1404e-07	0.0001020838063157	2.9397930385700847e-06	True	True	True	574	0.17306	0.029659	0.053368	0.00059311	0.0710437182394366	2.9396202010700218e-06	False	False	True	True	574.0	0.24351	0.04187	0.045585	4.6611e-08	0.000132126648	2.9397930385700847e-06	True	True	True	True	570.0	0.14711	0.025413	0.045264	0.00057785	0.1854353358490565	2.9397930385700847e-06	False	False	True	True	573.0	0.22624	0.038851	0.045065	2.6049e-07	0.000443041392	2.9397930385700847e-06	True	True	True	4	0	2	CF;SCZ	True	PLEIO_shared_with_available_constituent	2	CF;SCZ	True	PLEIO_shared_with_available_constituent
