ancestry	source_run_label	run_relative_path	run_key	inferred_label	inferred_label_status	analysis_label	analysis_label_status	result_type	source_file	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	expected_magma_type	included_in_correction	p_numeric	n_tests_in_file	bonferroni_threshold	p_bh	significant_bonferroni	significant_fdr	p_rank_within_file	beta_numeric	positive_beta	significant_bonferroni_positive	significant_fdr_positive
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	BIOCARTA_FLUMAZENIL_PATHWAY	SET	8	2.9565	0.061616	0.58266	1.9669e-07	BIOCARTA_FLUMAZENIL_PATHWAY	SET	True	1.9669e-07	17008	2.9397930385700847e-06	0.00014068450666666668	True	True	23.0	2.9565	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	BLALOCK_ALZHEIMERS_DISEASE_DN	SET	1146	0.28573	0.069034	0.046317	3.514e-10	BLALOCK_ALZHEIMERS_DISEASE_DN	SET	True	3.514e-10	17008	2.9397930385700847e-06	7.755459022222223e-07	True	True	7.0	0.28573	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_CELL_JUNCTION_ASSEMBLY	SET	406	0.37124	0.054518	0.081859	2.899e-06	GOBP_CELL_JUNCTION_ASSEMBLY	SET	True	2.899e-06	17008	2.9397930385700847e-06	0.0010718737391304347	True	True	46.0	0.37124	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_CELL_MORPHOGENESIS	SET	865	0.25934	0.054876	0.055262	1.3579e-06	GOBP_CELL_MORPHOGENESIS	SET	True	1.3579e-06	17008	2.9397930385700847e-06	0.000641532311111111	True	True	36.0	0.25934	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_CELL_PART_MORPHOGENESIS	SET	608	0.33761	0.060331	0.066558	1.9852e-07	GOBP_CELL_PART_MORPHOGENESIS	SET	True	1.9852e-07	17008	2.9397930385700847e-06	0.00014068450666666668	True	True	24.0	0.33761	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_CHROMATIN_ORGANIZATION	SET	552	0.29382	0.050107	0.064298	2.4602e-06	GOBP_CHROMATIN_ORGANIZATION	SET	True	2.4602e-06	17008	2.9397930385700847e-06	0.0009509791272727274	True	True	44.0	0.29382	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_GENERATION_OF_NEURONS	SET	1331	0.2717	0.070364	0.04492	7.4651e-10	GOBP_GENERATION_OF_NEURONS	SET	True	7.4651e-10	17008	2.9397930385700847e-06	1.269664208e-06	True	True	10.0	0.2717	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_MRNA_METABOLIC_PROCESS	SET	639	0.29016	0.05311	0.057711	2.5071e-07	GOBP_MRNA_METABOLIC_PROCESS	SET	True	2.5071e-07	17008	2.9397930385700847e-06	0.00016987721230769234	True	True	25.0	0.29016	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_MRNA_PROCESSING	SET	419	0.32754	0.048846	0.070249	1.5741e-06	GOBP_MRNA_PROCESSING	SET	True	1.5741e-06	17008	2.9397930385700847e-06	0.0007235754810810812	True	True	37.0	0.32754	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_NEUROGENESIS	SET	1545	0.23754	0.065861	0.041647	5.9661e-09	GOBP_NEUROGENESIS	SET	True	5.9661e-09	17008	2.9397930385700847e-06	8.4559524e-06	True	True	12.0	0.23754	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_NEURON_DEVELOPMENT	SET	1020	0.25345	0.05798	0.050478	2.5969e-07	GOBP_NEURON_DEVELOPMENT	SET	True	2.5969e-07	17008	2.9397930385700847e-06	0.00016987721230769234	True	True	26.0	0.25345	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	GOBP_POSITIVE_REGULATION_OF_...145	SET	323	0.40687	0.053417	0.088346	2.0736e-06	GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	SET	True	2.0736e-06	17008	2.9397930385700847e-06	0.0008397092571428571	True	True	42.0	0.40687	True	True	True
