ancestry	source_run_label	run_relative_path	run_key	inferred_label	inferred_label_status	analysis_label	analysis_label_status	result_type	source_file	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	expected_magma_type	included_in_correction	p_numeric	n_tests_in_file	bonferroni_threshold	p_bh	significant_bonferroni	significant_fdr	p_rank_within_file	beta_numeric	positive_beta	significant_bonferroni_positive	significant_fdr_positive
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Brain	COVAR	16926	0.17304	0.29894	0.012733	3.9547e-42	COVAR	True	3.9547e-42	30	0.0016666666666666668	1.1864100000000001e-40	True	True	1.0	0.17304	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Ovary	COVAR	16926	0.057338	0.11577	0.01898	0.001262	COVAR	True	0.001262	30	0.0016666666666666668	0.009465000000000001	True	True	4.0	0.057338	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Pituitary	COVAR	16926	0.14766	0.2735	0.01543	6.1684e-22	COVAR	True	6.1684e-22	30	0.0016666666666666668	9.2526e-21	True	True	2.0	0.14766	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Testis	COVAR	16926	0.033589	0.057645	0.010312	0.00056354	COVAR	True	0.00056354	30	0.0016666666666666668	0.0056354	True	True	3.0	0.033589	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Brain	COVAR	16907	0.15479	0.2674	0.012654	1.5077e-34	COVAR	True	1.5077000000000001e-34	30	0.0016666666666666668	4.523100000000001e-33	True	True	1.0	0.15479	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Ovary	COVAR	16907	0.072871	0.14714	0.018883	5.7157e-05	COVAR	True	5.7157e-05	30	0.0016666666666666668	0.0005715700000000001	True	True	3.0	0.072871	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Pituitary	COVAR	16907	0.13636	0.25257	0.01525	2.1355e-19	COVAR	True	2.1355e-19	30	0.0016666666666666668	3.2032500000000003e-18	True	True	2.0	0.13636	True	True	True
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Brain	COVAR	16907	0.15208	0.26273	0.012765	6.9932e-33	COVAR	True	6.9932e-33	30	0.0016666666666666668	2.09796e-31	True	True	1.0	0.15208	True	True	True
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Pituitary	COVAR	16907	0.13267	0.24573	0.015383	3.5434e-18	COVAR	True	3.5434e-18	30	0.0016666666666666668	5.3151e-17	True	True	2.0	0.13267	True	True	True
EAS	FUMA_EAS_4traitPLEIO	EAS/FUMA_EAS_4traitPLEIO	EAS/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/PLEIO/EAS_summary/FUMA_EAS_4traitPLEIO/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Brain	COVAR	16419	0.040488	0.069816	0.010597	6.6798e-05	COVAR	True	6.6798e-05	30	0.0016666666666666668	0.00200394	True	True	1.0	0.040488	True	True	True
EAS	FUMA_EAS_3traitPLEIO_MDD_EA_CF	EAS/FUMA_EAS_3traitPLEIO_MDD_EA_CF	EAS/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/PLEIO/EAS_summary/FUMA_EAS_3traitPLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Brain	COVAR	16419	0.036251	0.062511	0.010811	0.00040027	COVAR	True	0.00040027	30	0.0016666666666666668	0.012008099999999999	True	True	1.0	0.036251	True	True	True
EAS	FUMA_EAS_3traitPLEIO_SCZ_EA_CF	EAS/FUMA_EAS_3traitPLEIO_SCZ_EA_CF	EAS/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/PLEIO/EAS_summary/FUMA_EAS_3traitPLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Brain	COVAR	16419	0.041012	0.07072	0.010605	5.5241e-05	COVAR	True	5.5241e-05	30	0.0016666666666666668	0.00165723	True	True	1.0	0.041012	True	True	True
