ancestry	source_run_label	run_relative_path	run_key	inferred_label	inferred_label_status	analysis_label	analysis_label_status	result_type	source_file	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	expected_magma_type	included_in_correction	p_numeric	n_tests_in_file	bonferroni_threshold	p_bh	significant_bonferroni	significant_fdr	p_rank_within_file	beta_numeric	positive_beta	significant_bonferroni_positive	significant_fdr_positive
EAS	MDD	MDD	EAS/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/MDD/magma.gsa.out	GOBP_MITOCHONDRIAL_ELECTRON_...3	SET	5	1.5845	0.025789	0.31229	1.9716e-07	GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_SUCCINATE_TO_UBIQUINONE	SET	True	1.9716e-07	17009	2.9396202010700218e-06	0.0033508863933333333	True	True	1.0	1.5845	True	True	True
EAS	MDD	MDD	EAS/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/MDD/magma.gsa.out	GOMF_INTERLEUKIN_6_RECEPTOR_...	SET	6	1.543	0.027511	0.31747	5.9102e-07	GOMF_INTERLEUKIN_6_RECEPTOR_BINDING	SET	True	5.9102e-07	17009	2.9396202010700218e-06	0.0033508863933333333	True	True	3.0	1.543	True	True	True
EAS	MDD	MDD	EAS/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/MDD/magma.gsa.out	WP_MITOCHONDRIAL_COMPLEX_II_...	SET	7	1.3861	0.026693	0.28468	5.6572e-07	WP_MITOCHONDRIAL_COMPLEX_II_ASSEMBLY	SET	True	5.6572e-07	17009	2.9396202010700218e-06	0.0033508863933333333	True	True	2.0	1.3861	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	BIOCARTA_FLUMAZENIL_PATHWAY	SET	8	2.7269	0.056016	0.39969	4.6095e-12	BIOCARTA_FLUMAZENIL_PATHWAY	SET	True	4.6095e-12	17009	2.9396202010700218e-06	7.840298549999999e-08	True	True	1.0	2.7269	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	BIOCARTA_FREE_PATHWAY	SET	9	2.2502	0.049026	0.35375	1.0261e-10	BIOCARTA_FREE_PATHWAY	SET	True	1.0261e-10	17009	2.9396202010700218e-06	8.72646745e-07	True	True	2.0	2.2502	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_AXON_DEVELOPMENT	SET	445	0.28517	0.043183	0.062157	2.2531e-06	GOBP_AXON_DEVELOPMENT	SET	True	2.2531e-06	17009	2.9396202010700218e-06	0.0013686777821428572	True	True	28.0	0.28517	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_CELLULAR_COMPONENT_MORP...	SET	725	0.22008	0.042215	0.048175	2.4743e-06	GOBP_CELLULAR_COMPONENT_MORPHOGENESIS	SET	True	2.4743e-06	17009	2.9396202010700218e-06	0.0014512196103448275	True	True	29.0	0.22008	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_CELL_MORPHOGENESIS	SET	875	0.23346	0.048994	0.044508	7.8879e-08	GOBP_CELL_MORPHOGENESIS	SET	True	7.8879e-08	17009	2.9396202010700218e-06	0.00012196844645454546	True	True	11.0	0.23346	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_CELL_MORPHOGENESIS_INVO...	SET	585	0.2794	0.048325	0.053791	1.0401e-07	GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	SET	True	1.0401e-07	17009	2.9396202010700218e-06	0.00013449259285714285	True	True	12.0	0.2794	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOBP_CELL_PART_MORPHOGENESIS	SET	617	0.29142	0.051721	0.05244	1.39e-08	GOBP_CELL_PART_MORPHOGENESIS	SET	True	1.39e-08	17009	2.9396202010700218e-06	3.377501428571428e-05	True	True	7.0	0.29142	True	True	True
