ancestry	source_run_label	run_relative_path	run_key	inferred_label	inferred_label_status	analysis_label	analysis_label_status	result_type	source_file	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	expected_magma_type	included_in_correction	p_numeric	n_tests_in_file	bonferroni_threshold	p_bh	significant_bonferroni	significant_fdr	p_rank_within_file	beta_numeric	positive_beta	significant_bonferroni_positive	significant_fdr_positive
EAS	SCZ	SCZ	EAS/SCZ	SCZ	inferred_exact	SCZ	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/SCZ/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Brain	COVAR	17352	0.028159	0.048922	0.0072059	4.6763e-05	COVAR	True	4.6763e-05	30	0.0016666666666666668	0.00140289	True	True	1.0	0.028159	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Brain	COVAR	17276	0.10366	0.17991	0.010283	3.9369e-24	COVAR	True	3.9369e-24	30	0.0016666666666666668	1.18107e-22	True	True	1.0	0.10366	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Ovary	COVAR	17276	0.050089	0.10149	0.015341	0.00054846	COVAR	True	0.00054846	30	0.0016666666666666668	0.004113449999999999	True	True	4.0	0.050089	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Pituitary	COVAR	17276	0.090482	0.16854	0.012473	2.1101e-13	COVAR	True	2.1101e-13	30	0.0016666666666666668	3.16515e-12	True	True	2.0	0.090482	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Testis	COVAR	17276	0.038111	0.065733	0.0083327	2.4138e-06	COVAR	True	2.4138e-06	30	0.0016666666666666668	2.4138e-05	True	True	3.0	0.038111	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Brain	COVAR	17202	0.08661	0.15019	0.0087063	1.5012e-23	COVAR	True	1.5012e-23	30	0.0016666666666666668	4.5036e-22	True	True	1.0	0.08661	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Ovary	COVAR	17202	0.051926	0.10512	0.013094	3.6739e-05	COVAR	True	3.6739e-05	30	0.0016666666666666668	0.00036739	True	True	3.0	0.051926	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Pituitary	COVAR	17202	0.083505	0.15537	0.01053	1.1635e-15	COVAR	True	1.1635e-15	30	0.0016666666666666668	1.7452500000000002e-14	True	True	2.0	0.083505	True	True	True
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Brain	COVAR	17002	0.062664	0.10839	0.0086922	2.9447e-13	COVAR	True	2.9447e-13	30	0.0016666666666666668	8.8341e-12	True	True	1.0	0.062664	True	True	True
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Pituitary	COVAR	17002	0.057318	0.10632	0.010537	2.7105e-08	COVAR	True	2.7105e-08	30	0.0016666666666666668	4.06575e-07	True	True	2.0	0.057318	True	True	True
EUR	SCZ	SCZ	EUR/SCZ	SCZ	inferred_exact	SCZ	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/SCZ/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Brain	COVAR	17211	0.082032	0.14224	0.0086686	1.6997e-21	COVAR	True	1.6997e-21	30	0.0016666666666666668	5.0991e-20	True	True	1.0	0.082032	True	True	True
EUR	SCZ	SCZ	EUR/SCZ	SCZ	inferred_exact	SCZ	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/SCZ/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	Pituitary	COVAR	17211	0.078047	0.14519	0.010443	4.1089e-14	COVAR	True	4.1089e-14	30	0.0016666666666666668	6.16335e-13	True	True	2.0	0.078047	True	True	True
