# TOTAL_GENES = 18856
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      23     -0.24815   -0.0086616      0.19816      0.89475 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      40     -0.30077    -0.013838      0.13947      0.98447 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7      0.12777    0.0024614      0.38635      0.37043 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      13    -0.056688    -0.001488      0.26107      0.58595 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16     0.096533    0.0028109      0.21452      0.32636 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13    -0.023688  -0.00062179      0.25579      0.53689 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      41     0.060341    0.0028107      0.13497      0.32742 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      18     -0.20132   -0.0062173        0.209      0.83228 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      32     0.059316    0.0024415      0.14429      0.34051 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      28     0.082906    0.0031925      0.15931       0.3014 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20      0.41278     0.013436      0.17346    0.0086692 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      26     -0.23967   -0.0088936      0.17752       0.9115 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
