# TOTAL_GENES = 17199
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17199    -0.005561    -0.011084     0.010435      0.70295 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17199    0.0011348    0.0022009     0.010848      0.45834 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17199   -0.0045075   -0.0086899    0.0097464      0.67813 Adrenal_Gland
Artery_Aorta                        COVAR   17199   -0.0062594    -0.012759    0.0098836      0.73673 Artery_Aorta
Artery_Coronary                     COVAR   17199   -0.0075321    -0.014975     0.011456      0.74456 Artery_Coronary
Artery_Tibial                       COVAR   17199   -0.0065171    -0.013405    0.0096421      0.75044 Artery_Tibial
Bladder                             COVAR   17199    -0.026555    -0.051674     0.012612      0.98237 Bladder
Brain_Amygdala                      COVAR   17199     0.010197      0.01734    0.0075984     0.089808 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17199     0.009978     0.017596    0.0070192      0.07759 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17199    0.0061588     0.010621    0.0076161      0.20936 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17199   -0.0059185    -0.011866    0.0058683       0.8434 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17199   -0.0063564    -0.012607    0.0060504      0.85327 Brain_Cerebellum
Brain_Cortex                        COVAR   17199    0.0080862     0.014725    0.0069314      0.12169 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17199    0.0092222     0.016967    0.0066847     0.083865 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17199    0.0079437     0.013426    0.0077197      0.15174 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17199    0.0067117     0.011531    0.0078675      0.19681 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17199    0.0054096    0.0093698    0.0073756      0.23165 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17199    0.0052256    0.0088774    0.0076615      0.24761 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17199    0.0046714    0.0083825    0.0083258      0.28738 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17199    0.0079055     0.013585    0.0082745      0.16969 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17199   -0.0018076   -0.0034702     0.012194      0.55892 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17199   -0.0034709   -0.0074305    0.0063036      0.70905 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17199    0.0025241    0.0055048    0.0046864      0.29509 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17199    -0.026882    -0.052599      0.01176      0.98886 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17199    -0.028387    -0.056101     0.011137      0.99459 Cervix_Endocervix
Colon_Sigmoid                       COVAR   17199   -0.0027503   -0.0053735      0.01202      0.59049 Colon_Sigmoid
Colon_Transverse                    COVAR   17199   -0.0076909    -0.014117     0.011151       0.7548 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   17199   -0.0069596    -0.013683     0.012332      0.71374 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   17199    0.0056872     0.010976    0.0072766      0.21724 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   17199   -0.0030086   -0.0059269      0.01195      0.59939 Esophagus_Muscularis
Fallopian_Tube                      COVAR   17199    -0.017597    -0.034077     0.011387      0.93886 Fallopian_Tube
Heart_Atrial_Appendage              COVAR   17199    0.0063442     0.011372    0.0091785      0.24472 Heart_Atrial_Appendage
Heart_Left_Ventricle                COVAR   17199    0.0056769    0.0094595    0.0087562      0.25839 Heart_Left_Ventricle
Kidney_Cortex                       COVAR   17199    0.0004686   0.00082188    0.0085494      0.47814 Kidney_Cortex
Kidney_Medulla                      COVAR   17199   -0.0091146    -0.016823    0.0088143      0.84944 Kidney_Medulla
Liver                               COVAR   17199    0.0017665    0.0031761    0.0061174      0.38638 Liver
Lung                                COVAR   17199    0.0045145    0.0087122    0.0089378      0.30675 Lung
Minor_Salivary_Gland                COVAR   17199     0.012974       0.0241    0.0092143     0.079566 Minor_Salivary_Gland
Muscle_Skeletal                     COVAR   17199    0.0060348     0.011407     0.006721      0.18462 Muscle_Skeletal
Nerve_Tibial                        COVAR   17199  -0.00098721   -0.0019838    0.0096489      0.54075 Nerve_Tibial
Ovary                               COVAR   17199     -0.01838    -0.037217    0.0093105      0.97581 Ovary
Pancreas                            COVAR   17199     0.010954     0.018291    0.0080005     0.085478 Pancreas
Pituitary                           COVAR   17199    0.0042716    0.0079495     0.008624      0.31019 Pituitary
Prostate                            COVAR   17199   -0.0083355    -0.015784     0.011505      0.76562 Prostate
Skin_Not_Sun_Exposed_Suprapu...     COVAR   17199    0.0079685     0.015341    0.0074299      0.14176 Skin_Not_Sun_Exposed_Suprapubic
Skin_Sun_Exposed_Lower_leg          COVAR   17199    0.0064001     0.012397    0.0074675      0.19571 Skin_Sun_Exposed_Lower_leg
Small_Intestine_Terminal_Ile...     COVAR   17199   -0.0044407   -0.0081513    0.0092574      0.68427 Small_Intestine_Terminal_Ileum
Spleen                              COVAR   17199    -0.007402    -0.014648    0.0070687      0.85248 Spleen
Stomach                             COVAR   17199    0.0099109     0.017976      0.01152       0.1948 Stomach
Testis                              COVAR   17199    -0.005757   -0.0099223    0.0053758      0.85788 Testis
