# MEAN_SAMPLE_SIZE = 74380
# TOTAL_GENES = 17852
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      21     -0.14751   -0.0050563      0.27549      0.70382 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      38     -0.19575   -0.0090218      0.22736      0.80537 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       6      0.22648    0.0041514      0.62401      0.35833 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      12     0.035659   0.00092424      0.36607       0.4612 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16     -0.15477   -0.0046315      0.28424      0.70695 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      12      0.44108     0.011432      0.40847      0.14012 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      40      0.13762     0.006507      0.21568      0.26172 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      17      0.15855    0.0048904      0.32887      0.31487 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      31      0.29394     0.012238       0.2187     0.089485 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      27      0.31406     0.012205      0.23915     0.094558 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20      0.47112      0.01576      0.28622     0.049892 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      23    -0.094634   -0.0033947      0.28699       0.6292 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      38     -0.38738    -0.017854       0.1839      0.98241 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     498     -0.13151    -0.021658     0.057684      0.98869 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     878     0.059312     0.012826     0.044106     0.089362 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     143    -0.009242  -0.00082387      0.11677      0.53154 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     236    -0.020331   -0.0023221     0.094936      0.58478 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      90    -0.067704   -0.0047952      0.13652      0.69002 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     117      -0.1678     -0.01354      0.13365      0.89534 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     256     -0.14397    -0.017116     0.075839      0.97116 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     763     0.030038    0.0060761     0.046236      0.25796 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     683     0.055828     0.010709     0.054134      0.15121 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     318    -0.068137   -0.0090129     0.069128      0.83784 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     157    0.0053859   0.00050288     0.097826      0.47805 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1         SET      99    -0.012173  -0.00090398      0.12614      0.53844 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2         SET      77       0.1074    0.0070382      0.13563      0.21423 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...          SET      63      0.19863     0.011779      0.17715       0.1311 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN                     SET     231     0.074792    0.0084528     0.084819      0.18895 AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP                     SET     178     -0.16902    -0.016794      0.10219      0.95093 AFFAR_YY1_TARGETS_UP
AGARWAL_AKT_PATHWAY_TARGETS              SET      10     -0.37651   -0.0089088      0.46058      0.79316 AGARWAL_AKT_PATHWAY_TARGETS
AGUIRRE_PANCREATIC_CANCER_CO...1         SET     174      0.30541     0.030005      0.10732    0.0022174 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
AGUIRRE_PANCREATIC_CANCER_CO...2         SET     283    -0.009455    -0.001181     0.085839      0.54385 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
AIGNER_ZEB1_TARGETS                      SET      32     -0.35993    -0.015225       0.2558      0.92029 AIGNER_ZEB1_TARGETS
AIYAR_COBRA1_TARGETS_DN                  SET      26     -0.35986    -0.013724      0.23657      0.93588 AIYAR_COBRA1_TARGETS_DN
AIYAR_COBRA1_TARGETS_UP                  SET      35    -0.027036   -0.0011959      0.25171      0.54277 AIYAR_COBRA1_TARGETS_UP
AKL_HTLV1_INFECTION_DN                   SET      62      -0.1525   -0.0089719      0.17425      0.80926 AKL_HTLV1_INFECTION_DN
AKL_HTLV1_INFECTION_UP                   SET      23      0.17184    0.0061642      0.30321      0.28545 AKL_HTLV1_INFECTION_UP
ALCALAY_AML_BY_NPM1_LOCALIZA...1         SET     167    -0.047639   -0.0045862     0.099891      0.68329 ALCALAY_AML_BY_NPM1_LOCALIZATION_DN
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     126     0.066853    0.0055967      0.12687      0.29913 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      82     -0.06723   -0.0045461      0.14333      0.68048 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     218      0.17694     0.019433     0.087009     0.021008 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      22     -0.11142   -0.0039091       0.2897      0.64974 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5     -0.30043   -0.0050273      0.69394      0.66746 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      32    -0.096753   -0.0040928      0.22646       0.6654 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      15      -0.2969   -0.0086029      0.37949      0.78299 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     174    -0.088634   -0.0087079     0.098888      0.81495 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     107     0.090403    0.0069781      0.13081      0.24476 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     101     -0.16584    -0.012439      0.13446      0.89126 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      14      0.47078     0.013179      0.36837      0.10063 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      65     0.015901   0.00095777        0.151      0.45807 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      35       0.0947    0.0041892      0.21051      0.32641 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      10      0.29811    0.0070538      0.47269      0.26413 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12     -0.61771     -0.01601      0.34491      0.96334 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      58      0.11333    0.0064497      0.18435      0.26935 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      20      0.52248     0.017479      0.28673     0.034221 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      35    -0.098932   -0.0043764      0.22347      0.67101 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      15     0.062626    0.0018146      0.28782      0.41388 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     154     0.086881    0.0080347      0.10668      0.20771 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      39     -0.11155   -0.0052085      0.20787      0.70424 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      39      0.20236    0.0094482      0.22851      0.18793 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      32     -0.19244   -0.0081405      0.23835      0.79027 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      57     0.048985    0.0027636      0.17531      0.38996 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      15     0.064565    0.0018708      0.37846      0.43227 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      53    -0.090133    -0.004904      0.19273      0.67998 AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A            SET      26      -0.4983    -0.019003      0.26253      0.97115 AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF1...          SET      33     -0.23257   -0.0099903      0.21826      0.85668 AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A            SET      53     -0.33889    -0.018438      0.18896      0.96354 AMIT_SERUM_RESPONSE_60_MCF10A
AMUNDSON_DNA_DAMAGE_RESPONSE...          SET      14     -0.13077   -0.0036606      0.41445      0.62381 AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
AMUNDSON_RESPONSE_TO_ARSENITE            SET     198    -0.021505   -0.0022522     0.093427      0.59102 AMUNDSON_RESPONSE_TO_ARSENITE
ANASTASSIOU_MULTICANCER_INVA...          SET      57     -0.22859    -0.012896      0.18005      0.89788 ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
ANDERSEN_CHOLANGIOCARCINOMA_...1         SET      57     0.085017    0.0047964      0.16686       0.3052 ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
ANDERSEN_CHOLANGIOCARCINOMA_...2         SET     165     -0.17918    -0.017147      0.10273      0.95943 ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
ANDERSEN_LIVER_CANCER_KRT19_...1         SET      70     0.027977    0.0017485      0.14754       0.4248 ANDERSEN_LIVER_CANCER_KRT19_DN
ANDERSEN_LIVER_CANCER_KRT19_...2         SET      31      0.15635    0.0065097      0.21173      0.23014 ANDERSEN_LIVER_CANCER_KRT19_UP
APPEL_IMATINIB_RESPONSE                  SET      31     0.070838    0.0029494      0.22273      0.37523 APPEL_IMATINIB_RESPONSE
