# MEAN_SAMPLE_SIZE = 24817
# TOTAL_GENES = 17352
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17352     -0.01611    -0.032161     0.011327      0.92252 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17352    -0.015625    -0.030356     0.011729      0.90859 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17352    -0.018921    -0.036532     0.010432      0.96512 Adrenal_Gland
Artery_Aorta                        COVAR   17352    -0.010137    -0.020691     0.010677      0.82879 Artery_Aorta
Artery_Coronary                     COVAR   17352    -0.017512     -0.03487     0.012423      0.92067 Artery_Coronary
Artery_Tibial                       COVAR   17352   -0.0011471   -0.0023622     0.010454      0.54369 Artery_Tibial
Bladder                             COVAR   17352    -0.020193    -0.039372     0.013726      0.92937 Bladder
Brain_Amygdala                      COVAR   17352     0.018862     0.032139    0.0081822     0.010584 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17352     0.023787     0.042028    0.0075461   0.00081163 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17352     0.022391     0.038686    0.0082332    0.0032716 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17352     0.026666     0.053522    0.0063707   1.4283e-05 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17352     0.025999     0.051625    0.0065674    3.782e-05 Brain_Cerebellum
Brain_Cortex                        COVAR   17352     0.024882     0.045389     0.007468   0.00043236 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17352     0.026772     0.049345    0.0071967   9.9938e-05 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17352     0.018932     0.032067    0.0083366     0.011581 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17352     0.022251     0.038314    0.0084592    0.0042684 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17352     0.024481     0.042486    0.0079476    0.0010358 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17352     0.020655     0.035152     0.008289    0.0063585 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17352     0.017259     0.031029    0.0090207     0.027863 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17352      0.01304     0.022452    0.0089636     0.072881 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17352    -0.029376    -0.056508     0.013288      0.98646 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17352   0.00049674    0.0010644    0.0068237      0.47098 Cells_Cultured_fibroblasts
