# MEAN_SAMPLE_SIZE = 74380
# TOTAL_GENES = 17852
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      21     -0.34195    -0.011722      0.27023      0.89713 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      38    -0.077105   -0.0035537      0.22303      0.63522 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       6      0.25255    0.0046294      0.61212      0.33996 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      12       0.2915    0.0075553      0.35909      0.20846 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16      0.25458    0.0076184      0.27882      0.18061 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      12      0.18822    0.0048784       0.4007      0.31928 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      40      0.07209    0.0034087      0.21157      0.36665 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      17     -0.20655    -0.006371       0.3226      0.73899 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      31      0.21981    0.0091523      0.21454      0.15279 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      27      0.09031    0.0035096       0.2346      0.35014 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20      0.21538    0.0072053      0.28078      0.22152 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      23      -0.1217   -0.0043657      0.28152      0.66724 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      38     -0.19402   -0.0089423      0.18042       0.8589 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     498    -0.073062    -0.012032     0.056591      0.90165 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     878    0.0020002   0.00043255     0.043268      0.48156 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     143    -0.068218   -0.0060812      0.11454      0.72427 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     236     0.056428    0.0064451     0.093126      0.27228 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      90     -0.18925    -0.013404      0.13391       0.9212 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     117    -0.068236   -0.0055061      0.13111      0.69862 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     256    -0.089501    -0.010641     0.074399       0.8855 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     763    0.0097678    0.0019758     0.045356      0.41475 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     683     0.035548     0.006819     0.053103      0.25162 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     318    -0.019724    -0.002609     0.067812      0.61442 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     157    0.0080488    0.0007515     0.095962      0.46658 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1         SET      99      0.10804    0.0080233      0.12374       0.1913 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2         SET      77      0.16724      0.01096      0.13304      0.10437 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...          SET      63      0.11636    0.0069004      0.17378      0.25156 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN                     SET     231     -0.07649   -0.0086448     0.083203      0.82103 AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP                     SET     178    -0.085563   -0.0085014      0.10025      0.80331 AFFAR_YY1_TARGETS_UP
AGARWAL_AKT_PATHWAY_TARGETS              SET      10     -0.71323    -0.016876      0.45178      0.94279 AGARWAL_AKT_PATHWAY_TARGETS
AGUIRRE_PANCREATIC_CANCER_CO...1         SET     174      0.18085     0.017768      0.10529     0.042939 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
AGUIRRE_PANCREATIC_CANCER_CO...2         SET     283    -0.017085    -0.002134     0.084204      0.58039 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
AIGNER_ZEB1_TARGETS                      SET      32    -0.087406   -0.0036974      0.25094       0.6362 AIGNER_ZEB1_TARGETS
AIYAR_COBRA1_TARGETS_DN                  SET      26     -0.16491   -0.0062892      0.23207      0.76133 AIYAR_COBRA1_TARGETS_DN
AIYAR_COBRA1_TARGETS_UP                  SET      35    -0.032587   -0.0014415      0.24691       0.5525 AIYAR_COBRA1_TARGETS_UP
AKL_HTLV1_INFECTION_DN                   SET      62    -0.080308   -0.0047246      0.17093      0.68076 AKL_HTLV1_INFECTION_DN
AKL_HTLV1_INFECTION_UP                   SET      23      0.27414     0.009834      0.29743      0.17835 AKL_HTLV1_INFECTION_UP
ALCALAY_AML_BY_NPM1_LOCALIZA...1         SET     167     -0.15705    -0.015119      0.09798       0.9455 ALCALAY_AML_BY_NPM1_LOCALIZATION_DN
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     126     -0.16155    -0.013525      0.12445      0.90287 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      82    -0.082224     -0.00556       0.1406      0.72066 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     218      0.10212     0.011216     0.085358       0.1158 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      22     0.010533   0.00036953      0.28418      0.48522 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5     -0.55046   -0.0092112      0.68071      0.79064 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      32     0.041261    0.0017454      0.22214      0.42632 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      15     -0.18307   -0.0053045      0.37226      0.68855 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     174     -0.16648    -0.016356     0.096997      0.95694 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     107    -0.074188   -0.0057265      0.12832      0.71842 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     101     -0.03706   -0.0027797      0.13191      0.61062 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      14      0.44293     0.012399      0.36136      0.11016 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      65     0.094281    0.0056788      0.14813      0.26223 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      35      0.19327    0.0085494      0.20649      0.17466 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      10      0.32356     0.007656      0.46368      0.24265 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12     -0.17626   -0.0045685      0.33837      0.69878 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      58     0.032636    0.0018572      0.18084      0.42839 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      20      0.25025    0.0083718      0.28129      0.18683 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      35       0.0326    0.0014421      0.21921      0.44089 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      15     0.086221    0.0024983      0.28233      0.38004 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     154    0.0036709   0.00033949      0.10465      0.48601 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      39     -0.47886    -0.022358      0.20387      0.99058 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      39     0.044347    0.0020706      0.22416      0.42159 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      32     -0.32457     -0.01373       0.2338      0.91746 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      57       0.1176    0.0066347      0.17196      0.24703 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      15      0.46044     0.013342      0.37123      0.10744 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      53     -0.23259    -0.012655      0.18905       0.8907 AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A            SET      26     -0.32355    -0.012339      0.25754      0.89549 AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF1...          SET      33     -0.34243     -0.01471      0.21409      0.94513 AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A            SET      53     -0.27321    -0.014865      0.18536      0.92973 AMIT_SERUM_RESPONSE_60_MCF10A
AMUNDSON_DNA_DAMAGE_RESPONSE...          SET      14      0.14452    0.0040456      0.40656      0.36112 AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
AMUNDSON_RESPONSE_TO_ARSENITE            SET     198     0.024926    0.0026105     0.091647      0.39282 AMUNDSON_RESPONSE_TO_ARSENITE
ANASTASSIOU_MULTICANCER_INVA...          SET      57    -0.086384   -0.0048735      0.17662      0.68761 ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
ANDERSEN_CHOLANGIOCARCINOMA_...1         SET      57    -0.051319   -0.0028953      0.16369      0.62306 ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
ANDERSEN_CHOLANGIOCARCINOMA_...2         SET     165     -0.10465    -0.010015      0.10077      0.85046 ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
ANDERSEN_LIVER_CANCER_KRT19_...1         SET      70     -0.12466   -0.0077911      0.14472      0.80548 ANDERSEN_LIVER_CANCER_KRT19_DN
ANDERSEN_LIVER_CANCER_KRT19_...2         SET      31       0.2657     0.011063      0.20769      0.10041 ANDERSEN_LIVER_CANCER_KRT19_UP
APPEL_IMATINIB_RESPONSE                  SET      31    -0.087928    -0.003661      0.21849      0.65632 APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETI...1         SET      47     -0.11517   -0.0059018      0.17327      0.74687 APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETI...2         SET      38     -0.44704    -0.020604      0.19716      0.98831 APPIERTO_RESPONSE_TO_FENRETINIDE_UP
APRELIKOVA_BRCA1_TARGETS                 SET      43     -0.12095   -0.0059289      0.19499      0.73246 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      40       0.3788     0.017911      0.19622     0.026781 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      51     -0.17814   -0.0095083      0.18046      0.83821 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     145     0.087742    0.0078757       0.1084      0.20914 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISOR...2         SET      43     -0.37208     -0.01824      0.18724      0.97654 ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
AUJLA_IL22_AND_IL17A_SIGNALI...          SET       9      0.19011    0.0042676      0.46488       0.3413 AUJLA_IL22_AND_IL17A_SIGNALING
AUNG_GASTRIC_CANCER                      SET      48     -0.18001    -0.009322      0.18751      0.83147 AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMAT...1         SET      17      0.52396     0.016161      0.30878     0.044871 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMAT...2         SET     112      -0.1239   -0.0097832      0.13059      0.82862 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS                      SET      23     -0.25128   -0.0090139      0.29561      0.80234 AZARE_STAT3_TARGETS
