# TOTAL_GENES = 18823
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      23      0.16251    0.0056774       0.2409      0.24997 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      41     -0.39744    -0.018529      0.16838      0.99087 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7     -0.07793   -0.0015026      0.45258      0.56835 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      13      0.18954    0.0049796      0.28049       0.2496 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16       0.1869    0.0054469      0.22969      0.20791 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13     -0.61045    -0.016038      0.32772      0.96874 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      41    0.0034317   0.00015999       0.1672      0.49181 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      18      0.27715    0.0085665       0.2603      0.14351 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      32     0.063155    0.0026018      0.19379      0.37225 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      28      0.20542     0.007917      0.21065      0.16475 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20      0.19509    0.0063562       0.2243      0.19221 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      26     0.058337    0.0021667      0.22599      0.39815 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      42     -0.17372   -0.0081969      0.15283      0.87215 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     520     -0.10432    -0.017098     0.045297      0.98935 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     908     0.057792     0.012383     0.034332     0.046165 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     158    -0.027776   -0.0025342      0.08888      0.62267 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     242     -0.14346    -0.016162     0.077219      0.96839 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      95    -0.024083   -0.0017067      0.10958      0.58698 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     119     0.069017    0.0054704      0.10596      0.25742 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     262    -0.098866    -0.011583     0.061635      0.94564 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     811     0.040612    0.0082465     0.035561      0.12673 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     716    -0.074874    -0.014323     0.043018      0.95911 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     339   -0.0024058  -0.00031995     0.052874      0.51815 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     161    -0.086591   -0.0079742     0.074982      0.87591 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1         SET     109     0.015418    0.0011699     0.096967      0.43684 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2         SET      81     0.032349    0.0021175      0.11436      0.38864 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...          SET      70     -0.14969   -0.0091119       0.1316      0.87233 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN                     SET     238    -0.059625   -0.0066623     0.067278      0.81225 AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP                     SET     187    -0.066874   -0.0066325     0.077881      0.80473 AFFAR_YY1_TARGETS_UP
AGARWAL_AKT_PATHWAY_TARGETS              SET      10     -0.20382   -0.0046967      0.38512      0.70167 AGARWAL_AKT_PATHWAY_TARGETS
AGUIRRE_PANCREATIC_CANCER_CO...1         SET     230    -0.023195   -0.0025483     0.074406      0.62238 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
AGUIRRE_PANCREATIC_CANCER_CO...2         SET     290    -0.024861    -0.003062     0.062486      0.65463 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
AIGNER_ZEB1_TARGETS                      SET      33      0.31106     0.013013      0.19653     0.056752 AIGNER_ZEB1_TARGETS
AIYAR_COBRA1_TARGETS_DN                  SET      28     -0.10782   -0.0041555      0.19285      0.71194 AIYAR_COBRA1_TARGETS_DN
AIYAR_COBRA1_TARGETS_UP                  SET      36       0.2909      0.01271      0.18436     0.057307 AIYAR_COBRA1_TARGETS_UP
AKL_HTLV1_INFECTION_DN                   SET      64     0.032103    0.0018688      0.13838      0.40827 AKL_HTLV1_INFECTION_DN
AKL_HTLV1_INFECTION_UP                   SET      26    -0.015703  -0.00058321      0.20338      0.53077 AKL_HTLV1_INFECTION_UP
ALCALAY_AML_BY_NPM1_LOCALIZA...1         SET     177    -0.080114   -0.0077323     0.080198      0.84108 ALCALAY_AML_BY_NPM1_LOCALIZATION_DN
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     131    -0.048009   -0.0039913       0.1003      0.68391 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84     0.017789    0.0011857      0.11573      0.43892 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     231     0.093322     0.010275     0.067637      0.08384 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      24     0.014518   0.00051808      0.21662      0.47328 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5     -0.48461   -0.0078974      0.55998      0.80658 ALONSO_METASTASIS_EMT_DN
