# MEAN_SAMPLE_SIZE = 89015
# TOTAL_GENES = 18412
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      22     -0.82626    -0.028545      0.34169       0.9922 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      38    -0.036576     -0.00166      0.26413      0.55507 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7      0.50269    0.0098001      0.64661      0.21846 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      13      0.98595      0.02619      0.45882     0.015829 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16     -0.30558   -0.0090046      0.39203      0.78215 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13     -0.24492    -0.006506      0.45898       0.7032 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      39    -0.002238   -0.0001029      0.24226      0.50369 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      18     -0.19795   -0.0061864      0.37638      0.70053 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      31    -0.053669   -0.0022004      0.27036      0.57868 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      28      0.62574     0.024384      0.30403     0.019795 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20     -0.21773   -0.0071724      0.32878      0.74609 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      26    -0.070916   -0.0026631      0.33203      0.58456 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      41       0.3368     0.015876      0.21994     0.062855 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     511    -0.049613     -0.00815     0.068495      0.76556 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     893     0.092906     0.019959     0.050468     0.032828 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     148      0.14957     0.013357      0.14126      0.14485 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     239     -0.19167    -0.021696      0.11428      0.95324 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      92     0.072149    0.0050874      0.16575      0.33168 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     116     0.044076    0.0034875      0.15133      0.38543 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     259    -0.085788    -0.010103     0.091923      0.82465 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     792     0.095905     0.019459     0.053241     0.035833 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     699    -0.024764   -0.0047327     0.063997       0.6506 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     334    -0.046778   -0.0062431     0.080439      0.71955 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     160     0.080288    0.0074521      0.11717      0.24661 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1         SET     108     0.036606    0.0027954         0.15       0.4036 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2         SET      80      0.20493     0.013479      0.16548      0.10779 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...          SET      67      0.10947    0.0065917      0.20411      0.29587 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN                     SET     236    -0.068271   -0.0076799      0.10204      0.74827 AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP                     SET     186     -0.13238    -0.013238      0.11323      0.87882 AFFAR_YY1_TARGETS_UP
AGARWAL_AKT_PATHWAY_TARGETS              SET      10     -0.67027    -0.015617      0.50978      0.90571 AGARWAL_AKT_PATHWAY_TARGETS
AGUIRRE_PANCREATIC_CANCER_CO...1         SET     227      0.18693     0.020628      0.11216     0.047804 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
AGUIRRE_PANCREATIC_CANCER_CO...2         SET     288    -0.008095   -0.0010045     0.093624      0.53445 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
AIGNER_ZEB1_TARGETS                      SET      33      0.24576     0.010395      0.29487       0.2023 AIGNER_ZEB1_TARGETS
AIYAR_COBRA1_TARGETS_DN                  SET      26     -0.16015   -0.0060142      0.27618        0.719 AIYAR_COBRA1_TARGETS_DN
AIYAR_COBRA1_TARGETS_UP                  SET      36     -0.36122    -0.015957      0.28132      0.90042 AIYAR_COBRA1_TARGETS_UP
AKL_HTLV1_INFECTION_DN                   SET      62     -0.10643   -0.0061658      0.21422      0.69034 AKL_HTLV1_INFECTION_DN
AKL_HTLV1_INFECTION_UP                   SET      24      0.39882      0.01439       0.3195      0.10598 AKL_HTLV1_INFECTION_UP
ALCALAY_AML_BY_NPM1_LOCALIZA...1         SET     174      -0.1053    -0.010189      0.11993      0.81003 ALCALAY_AML_BY_NPM1_LOCALIZATION_DN
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     130      -0.1037   -0.0086828      0.14657      0.76037 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84     -0.17179    -0.011577      0.16667      0.84866 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     228    -0.056469   -0.0062451      0.10214      0.70981 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      23      0.22362    0.0078988      0.32588       0.2463 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5      0.56369    0.0092881      0.81755      0.24526 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33    -0.072291   -0.0030578      0.26134      0.60896 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16     -0.24631   -0.0072581       0.3693       0.7476 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     179      0.14951      0.01467      0.11545     0.097676 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     108     -0.43996    -0.033598      0.15539      0.99768 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     101      0.08274    0.0061115      0.16227      0.30507 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18      0.44858     0.014019      0.35292      0.10186 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      64     -0.13524   -0.0079599      0.18127      0.77219 AMIT_EGF_RESPONSE_120_HELA
