# TOTAL_GENES = 17002
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17002     -0.06519     -0.12758     0.016811      0.99995
Adrenal_Gland       COVAR   17002     0.029128     0.056073     0.013116     0.013188
Bladder             COVAR   17002    -0.028325    -0.054998     0.020401      0.91749
Blood               COVAR   17002   -0.0036977   -0.0066357    0.0077726      0.68286
Blood_Vessel        COVAR   17002   -0.0058822    -0.011902     0.014897      0.65352
Brain               COVAR   17002     0.062664      0.10839    0.0086922   2.9447e-13
Breast              COVAR   17002    -0.060418     -0.11573     0.019905       0.9988
Cervix_Uteri        COVAR   17002     0.019222     0.037603     0.018099      0.14412
Colon               COVAR   17002    0.0044978    0.0083891     0.019939      0.41077
Esophagus           COVAR   17002    -0.039987    -0.075051      0.02165      0.96762
Fallopian_Tube      COVAR   17002    -0.011384    -0.021987     0.017693      0.74003
Heart               COVAR   17002    -0.013943    -0.023927     0.012045      0.87648
Kidney              COVAR   17002    -0.013739      -0.0241      0.01192      0.87544
Liver               COVAR   17002   -0.0088038    -0.015827    0.0082978      0.85564
Lung                COVAR   17002    -0.061721     -0.11884     0.013289            1
Muscle              COVAR   17002    0.0044744    0.0084553    0.0086941       0.3034
Nerve               COVAR   17002  -0.00050538   -0.0010133     0.013181      0.51529
Ovary               COVAR   17002     0.035438     0.071634     0.013016    0.0032423
Pancreas            COVAR   17002     0.007734     0.012911     0.010976      0.24053
Pituitary           COVAR   17002     0.057318      0.10632     0.010537   2.7105e-08
Prostate            COVAR   17002   -0.0076373    -0.014427     0.017461      0.66908
Salivary_Gland      COVAR   17002    -0.027727    -0.051402     0.013631      0.97902
Skin                COVAR   17002    -0.016307    -0.030978     0.012679       0.9008
Small_Intestine     COVAR   17002     -0.04048    -0.074126     0.013595      0.99855
Spleen              COVAR   17002    -0.022015    -0.043508    0.0098968      0.98693
Stomach             COVAR   17002    -0.014955    -0.027075      0.01714      0.80852
Testis              COVAR   17002     0.010853      0.01865    0.0070535      0.06195
Thyroid             COVAR   17002   -0.0010617   -0.0020947     0.013626      0.53105
Uterus              COVAR   17002     0.017367     0.035262     0.015269      0.12769
Vagina              COVAR   17002     -0.02473    -0.047085     0.015925      0.93976
