# MEAN_SAMPLE_SIZE = 47485
# TOTAL_GENES = 16907
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   16907     -0.13635       -0.271     0.019694            1 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   16907     -0.17687     -0.34208      0.02041            1 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   16907    -0.041918    -0.080611      0.01834      0.98885 Adrenal_Gland
Artery_Aorta                        COVAR   16907    -0.077291     -0.15716     0.018788      0.99998 Artery_Aorta
Artery_Coronary                     COVAR   16907     -0.11758     -0.23304      0.02174            1 Artery_Coronary
Artery_Tibial                       COVAR   16907    -0.047511    -0.097483     0.018301      0.99528 Artery_Tibial
Bladder                             COVAR   16907     -0.14319     -0.27768     0.024056            1 Bladder
Brain_Amygdala                      COVAR   16907      0.12512       0.2121     0.014422   2.2623e-18 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   16907      0.13758      0.24183     0.013268   2.0692e-25 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   16907      0.12838      0.22063     0.014451   3.5855e-19 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   16907      0.13444      0.26882     0.011072   4.4958e-34 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   16907      0.13602      0.26898     0.011415   6.7742e-33 Brain_Cerebellum
Brain_Cortex                        COVAR   16907       0.1494      0.27109     0.013098   2.5528e-30 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   16907      0.14954      0.27415     0.012615   1.4154e-32 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   16907      0.13216      0.22265     0.014695   1.3387e-19 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   16907      0.13502      0.23111     0.014855   5.5937e-20 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   16907      0.12992      0.22428     0.013945   6.7817e-21 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   16907      0.12067      0.20439     0.014578   6.7957e-17 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   16907     0.087245      0.15611     0.015804   1.7174e-08 Brain_Spinal_cord_cervical_c-1
