# MEAN_SAMPLE_SIZE = 123285
# TOTAL_GENES = 17211
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17211    -0.064428     -0.12838     0.013548            1 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17211    -0.079614     -0.15439     0.014046            1 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17211    -0.017309    -0.033369     0.012656      0.91428 Adrenal_Gland
Artery_Aorta                        COVAR   17211    -0.028275    -0.057627     0.012949      0.98549 Artery_Aorta
Artery_Coronary                     COVAR   17211    -0.044301    -0.088046     0.014987      0.99844 Artery_Coronary
Artery_Tibial                       COVAR   17211    -0.018614    -0.038278      0.01265      0.92941 Artery_Tibial
Bladder                             COVAR   17211     -0.10199      -0.1984     0.016605            1 Bladder
Brain_Amygdala                      COVAR   17211     0.065987      0.11226    0.0098594   1.1314e-11 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17211     0.073476       0.1296    0.0090756   3.0439e-16 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17211     0.066646      0.11495     0.009903   8.7818e-12 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17211     0.074842      0.14999    0.0076537   8.0591e-23 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17211     0.076704      0.15206    0.0078863   1.3429e-22 Brain_Cerebellum
Brain_Cortex                        COVAR   17211     0.078525      0.14299    0.0089564   1.0039e-18 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17211     0.078606      0.14461    0.0086423   5.2549e-20 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17211     0.071631      0.12113     0.010027   4.7333e-13 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17211     0.068002      0.11684     0.010225   1.5071e-11 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17211     0.067189      0.11641    0.0095645   1.1146e-12 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17211     0.061681      0.10483    0.0099754   3.2158e-10 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17211     0.048335     0.086741     0.010886   4.5232e-06 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17211     0.052719     0.090626     0.010832   5.7154e-07 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17211      -0.1066      -0.2046     0.015926            1 Breast_Mammary_Tissue
