run_id	ancestry	model	direction_class	source	source_label	n_returned_terms	n_significant_terms	min_adjusted_p
EAS_FOURTRAIT_all	EAS	EAS_4TRAIT	all_mapped_genes	GO:BP	GO biological process	2204	0	0.051925557184442965
EAS_FOURTRAIT_all	EAS	EAS_4TRAIT	all_mapped_genes	GO:MF	GO molecular function	453	3	0.004817372742938979
EAS_FOURTRAIT_all	EAS	EAS_4TRAIT	all_mapped_genes	GO:CC	GO cellular component	351	0	0.09750562078164941
EAS_FOURTRAIT_all	EAS	EAS_4TRAIT	all_mapped_genes	REAC	Reactome	461	1	0.02100700281061303
EAS_FOURTRAIT_all	EAS	EAS_4TRAIT	all_mapped_genes	KEGG	KEGG pathway	150	1	0.010554814527398326
EAS_FOURTRAIT_all	EAS	EAS_4TRAIT	all_mapped_genes	WP	WikiPathways	169	0	0.1368484243286475
EAS_FOURTRAIT_all	EAS	EAS_4TRAIT	all_mapped_genes	HP	Human phenotype	1774	0	1.0
EAS_FOURTRAIT_all	EAS	EAS_4TRAIT	all_mapped_genes	HPA	Human Protein Atlas	544	2	0.04659890495989183
EAS_FOURTRAIT_all	EAS	EAS_4TRAIT	all_mapped_genes	CORUM	CORUM	44	0	1.0
EAS_FOURTRAIT_all	EAS	EAS_4TRAIT	all_mapped_genes	TF	Transcription factor target	6870	0	0.07356139722448664
EAS_FOURTRAIT_all	EAS	EAS_4TRAIT	all_mapped_genes	MIRNA	miRNA target	2141	0	0.8614419955243454
EAS_MDD_3TRAIT_all	EAS	EAS_MDD_EA_CF	all_mapped_genes	GO:BP	GO biological process	380	0	0.1178506086351175
EAS_MDD_3TRAIT_all	EAS	EAS_MDD_EA_CF	all_mapped_genes	GO:MF	GO molecular function	79	14	0.00025317144244638515
EAS_MDD_3TRAIT_all	EAS	EAS_MDD_EA_CF	all_mapped_genes	GO:CC	GO cellular component	95	0	0.35574666574577085
EAS_MDD_3TRAIT_all	EAS	EAS_MDD_EA_CF	all_mapped_genes	REAC	Reactome	163	0	1.0
EAS_MDD_3TRAIT_all	EAS	EAS_MDD_EA_CF	all_mapped_genes	KEGG	KEGG pathway	32	0	0.3747475979473484
EAS_MDD_3TRAIT_all	EAS	EAS_MDD_EA_CF	all_mapped_genes	WP	WikiPathways	30	0	1.0
