run_id	ancestry	model	direction_class	query_file	query_genes	query_sha256	background_scope	background_file	background_genes	background_sha256	organism	correction_method	user_threshold	sources	ordered_query	include_electronic_go	database_release	raw_file	raw_rows	significant_rows	original_csv_sha256	compressed_sha256	local_file_mtime	provenance_note
EAS_FOURTRAIT_all	EAS	EAS_4TRAIT	all_mapped_genes	inputs/gprofiler/EAS/FOURTRAIT/all_mapped_genes.txt	142	2134f86460630f55c1ee2911f7e8cd0a8fcb0b9728087e81a261ad86239886d0	not_recorded				hsapiens	g_SCS	0.05	GO:BP;GO:MF;GO:CC;REAC;KEGG;WP;HP;HPA;CORUM;TF;MIRNA	not_recorded	not_recorded	not_recorded	results/gprofiler/raw/gProfiler_EAS_PLEIO_4trait_allgenes_intersections.csv.gz	15161	7	3231f5a2747e00996b255668fb59c4c4f51264c50ddd13b6390095027e8b078d	b1a96bb90c34cb56d67a3917934ead31625b769b111ec9e140bc881027a39dcd	2026-06-09T17:01:46+01:00	EAS background settings were not retained in the web export; no custom background file was recovered.
EAS_MDD_3TRAIT_all	EAS	EAS_MDD_EA_CF	all_mapped_genes	inputs/gprofiler/EAS/MDD_3TRAIT/all_mapped_genes.txt	37	d201c6bd8451b49d644a97b6c28edb59e3c8cf86d00b7aa9d7190d90c115ebd8	not_recorded				hsapiens	g_SCS	0.05	GO:BP;GO:MF;GO:CC;REAC;KEGG;WP;HP;HPA;CORUM;TF;MIRNA	not_recorded	not_recorded	not_recorded	results/gprofiler/raw/gProfiler_EAS_PLEIO_3traitMDD_allgenes__intersections.csv.gz	7214	31	dba06daf1f1bde5dae9d5a10b54a5702b92546cad9b2a84057506be72a9286d7	84d904521e86f9ff321d2de52462bdb6c870fe77bf5d2848eae7342efa3316fa	2026-06-09T17:04:15+01:00	EAS background settings were not retained in the web export; no custom background file was recovered.
EAS_SCZ_3TRAIT_all	EAS	EAS_SCZ_EA_CF	all_mapped_genes	inputs/gprofiler/EAS/SCZ_3TRAIT/all_mapped_genes.txt	148	ece9e575f6ca2f9f79bba7de6d14f01f8bed43bc5f125cecf54f632664ddc4c7	not_recorded				hsapiens	g_SCS	0.05	GO:BP;GO:MF;GO:CC;REAC;KEGG;WP;HP;HPA;CORUM;TF;MIRNA	not_recorded	not_recorded	not_recorded	results/gprofiler/raw/gProfiler_EAS_PLEIO_3traitSCZ_allgenes_.csv.gz	15947	11	443cd7e26fae0923b1776e589d71523e074c4b202fb55e36d94ea8caf569ccf9	a54748f2bdded38d28243fbd165eba0a5c66ab85bd86d9647643f1fda19056cc	2026-06-09T17:05:59+01:00	EAS background settings were not retained in the web export; no custom background file was recovered.
EUR_FOURTRAIT_concordant	EUR	FOURTRAIT	concordant	inputs/gprofiler/EUR/FOURTRAIT/concordant.txt	1093	c18bea1ed964595bff00656220439cdf5b42c8225d9c1ea04078c7bae781b0fb	custom	inputs/gprofiler/EUR/FOURTRAIT/background.txt	3166	bd5b181fc6d0b6e2d7435dedd348c794d3a5c44997ef83237389291a9e73695d	hsapiens	g_SCS	0.05	GO:BP;GO:MF;GO:CC;REAC;KEGG;WP;HP;HPA;CORUM;TF;MIRNA	not_recorded	not_recorded	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_4trait_conc__intersections.csv.gz	29754	0	2a041087a7a6cb14f7c36b22a9693421be7fe08ec72d38015adebe6a4b15dfa8	c582d743b83756441bb4f6cd0367c162f17b8555c4e19e02643a950fe3992366	2026-06-09T12:01:56+01:00	EUR query and model-wide custom-background lists were recovered from the analysis files.
EUR_FOURTRAIT_discordant	EUR	FOURTRAIT	discordant	inputs/gprofiler/EUR/FOURTRAIT/discordant.txt	441	e3554f1d505a61edd90ebcaf9dfa00dd3f291f66f43e0498a3e22597d902bf9a	custom	inputs/gprofiler/EUR/FOURTRAIT/background.txt	3166	bd5b181fc6d0b6e2d7435dedd348c794d3a5c44997ef83237389291a9e73695d	hsapiens	g_SCS	0.05	GO:BP;GO:MF;GO:CC;REAC;KEGG;WP;HP;HPA;CORUM;TF;MIRNA	not_recorded	not_recorded	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_4trait_disc___intersections.csv.gz	22105	2	917bd42627f6b1bef6490d51dc2b91ec76e9b94fa5323f48e660ff4280be56b3	654de69f0a2bc347b3a5bbeeba6a10fe15eb3b4d8d084c2b27f46b7aabe66716	2026-06-09T12:08:11+01:00	EUR query and model-wide custom-background lists were recovered from the analysis files.
EUR_FOURTRAIT_dual	EUR	FOURTRAIT	dual	inputs/gprofiler/EUR/FOURTRAIT/mixed_dual.txt	519	ad0c0890b7a21cf38ddbef36b272c9caf6bfaafd55d58a74dafa93342f459c62	custom	inputs/gprofiler/EUR/FOURTRAIT/background.txt	3166	bd5b181fc6d0b6e2d7435dedd348c794d3a5c44997ef83237389291a9e73695d	hsapiens	g_SCS	0.05	GO:BP;GO:MF;GO:CC;REAC;KEGG;WP;HP;HPA;CORUM;TF;MIRNA	not_recorded	not_recorded	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_4trait_dual__intersections.csv.gz	23887	0	bc683176aaf09e782ca8da391a4f2b5a2082d6c31d97a2878659391616b87bcc	96920bf023f0affead09b49837b35529cfefb529de8c887ffb69b9925fcba262	2026-06-09T12:13:36+01:00	Publication label dual corresponds to the mixed_dual locus class used in the input filename.
EUR_MDD_3TRAIT_concordant	EUR	MDD_3TRAIT	concordant	inputs/gprofiler/EUR/MDD_3TRAIT/concordant.txt	1143	e342ff5bda274d8019b51cdd18529e5b0f478ad9e62baa9775f9d0e76ef5c900	custom	inputs/gprofiler/EUR/MDD_3TRAIT/background.txt	2654	fa74d71879e7ac1c8c7c1cf5f544ac2b42fc4605eba6c9726d621f5a5bd6133c	hsapiens	g_SCS	0.05	GO:BP;GO:MF;GO:CC;REAC;KEGG;WP;HP;HPA;CORUM;TF;MIRNA	not_recorded	not_recorded	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_3traitMDD_conc__intersections.csv.gz	29725	0	1cd99a5c3b6251c50b88ce02069fe9c9e8602ba51e787d1ec74dfe5190744fb2	16461232fae614d7b5934d655a1358c81ce0107e702d302b4dcf54882ffce796	2026-06-09T12:26:25+01:00	EUR query and model-wide custom-background lists were recovered from the analysis files.
EUR_MDD_3TRAIT_discordant	EUR	MDD_3TRAIT	discordant	inputs/gprofiler/EUR/MDD_3TRAIT/discordant.txt	374	258cbdd2adbf3347a0016b259cd4cdf709ebcb20f16604032639a92fac3324c6	custom	inputs/gprofiler/EUR/MDD_3TRAIT/background.txt	2654	fa74d71879e7ac1c8c7c1cf5f544ac2b42fc4605eba6c9726d621f5a5bd6133c	hsapiens	g_SCS	0.05	GO:BP;GO:MF;GO:CC;REAC;KEGG;WP;HP;HPA;CORUM;TF;MIRNA	not_recorded	not_recorded	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_3traitMDD_disc.csv.gz	21235	5	d68002c648d869b30610f0fb9ec714cf381951d15164b51a1a09f5e9a828bde4	ff239f214ed3d5c40ec9af22220f45718f9dc74061d63e297f79da9ddd6b1146	2026-06-09T12:25:53+01:00	Original CSV filename lacks the intersections suffix but contains the same columns as the other exports.
EUR_MDD_3TRAIT_dual	EUR	MDD_3TRAIT	dual	inputs/gprofiler/EUR/MDD_3TRAIT/mixed_dual.txt	369	98b23d0c3aa0164dc742f22bfc6588cee22e210dba58eb64ce70a844f02fa620	custom	inputs/gprofiler/EUR/MDD_3TRAIT/background.txt	2654	fa74d71879e7ac1c8c7c1cf5f544ac2b42fc4605eba6c9726d621f5a5bd6133c	hsapiens	g_SCS	0.05	GO:BP;GO:MF;GO:CC;REAC;KEGG;WP;HP;HPA;CORUM;TF;MIRNA	not_recorded	not_recorded	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_3traitMDD_dual__intersections.csv.gz	21722	0	756be758a7e508fd5ece8078bfd1d28edc1849e12dc7e4a7e1554680dc25a257	146f3c783c437eecae2ab98291e4bf9feb46f7151e74529c4c61500dc462ee33	2026-06-09T12:27:46+01:00	Publication label dual corresponds to the mixed_dual locus class used in the input filename.
EUR_SCZ_3TRAIT_concordant	EUR	SCZ_3TRAIT	concordant	inputs/gprofiler/EUR/SCZ_3TRAIT/concordant.txt	756	f68160c7b8a59c4850382f06a7820a8d6679b693603677f0e73c9eb231bd2e36	custom	inputs/gprofiler/EUR/SCZ_3TRAIT/background.txt	2689	ee461887f7dd0b1435c3600f8a7ccd46fd992b0abb0061b412c5504918de07fc	hsapiens	g_SCS	0.05	GO:BP;GO:MF;GO:CC;REAC;KEGG;WP;HP;HPA;CORUM;TF;MIRNA	not_recorded	not_recorded	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_3traitSCZ_conc__intersections.csv.gz	26991	0	102f18f92952a9f8f6a88d156d5dc75bd65d77f5b0962768c572039174ac9a9e	064530bba6e254a822d6b13d14d7c5964edee734f401a618548763e7e499ad73	2026-06-09T12:35:18+01:00	EUR query and model-wide custom-background lists were recovered from the analysis files.
EUR_SCZ_3TRAIT_discordant	EUR	SCZ_3TRAIT	discordant	inputs/gprofiler/EUR/SCZ_3TRAIT/discordant.txt	533	6d0ed173ae0152d4f12c611aca70044e17c7d56bec37bab9e56b20d656295a16	custom	inputs/gprofiler/EUR/SCZ_3TRAIT/background.txt	2689	ee461887f7dd0b1435c3600f8a7ccd46fd992b0abb0061b412c5504918de07fc	hsapiens	g_SCS	0.05	GO:BP;GO:MF;GO:CC;REAC;KEGG;WP;HP;HPA;CORUM;TF;MIRNA	not_recorded	not_recorded	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_3traitSCZ_disc__intersections.csv.gz	22901	1	0592a4cc27cedd9d7d83636307496af22c5035bf09b761c8888137f6288aa53e	c3b13106ebb3a4b16f8729c06a472e0301525109608936c08889a876fcfd7fd7	2026-06-09T12:39:04+01:00	EUR query and model-wide custom-background lists were recovered from the analysis files.
EUR_SCZ_3TRAIT_dual	EUR	SCZ_3TRAIT	dual	inputs/gprofiler/EUR/SCZ_3TRAIT/mixed_dual.txt	558	8fc7d0d27c50a29abf973635a4c649cf7edb1881de361709b5de614fd34fb12a	custom	inputs/gprofiler/EUR/SCZ_3TRAIT/background.txt	2689	ee461887f7dd0b1435c3600f8a7ccd46fd992b0abb0061b412c5504918de07fc	hsapiens	g_SCS	0.05	GO:BP;GO:MF;GO:CC;REAC;KEGG;WP;HP;HPA;CORUM;TF;MIRNA	not_recorded	not_recorded	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_3traitSCZ_dual__intersections.csv.gz	24164	4	bc90d2e4efc5828de7fb9461920d5a2774b1efad0616974baa872f4ecc28c9d9	7057e128fd42ec6d3c5d588c7b39f38c4ed5ea17cb08293af085248d8c4963ef	2026-06-09T12:32:56+01:00	Publication label dual corresponds to the mixed_dual locus class used in the input filename.
