source_file	sha256	assessment
Final_Pheno_script_fixed.R	e8af3c92d4abb89260154bf35a82f5cacaf2d0f3233f92a22eb95f970d06fd69	Historical source for the reproduced 10k PCA; cleaned for publication
step2_regenie_covprep.txt	454231f2b28d5d2414291decffb3db979ee7e5de7ba2cbede9e302534bc11434	Recovered source for ancestry splitting, five-SD masking and external Blom RINT
prepare_ancestry_g_for_regenie.R	cdf3e081edb6113fc44ce429a9b193f2106d73431ee025d068896551447a53c3	Publication-safe implementation of the recovered post-PCA phenotype preparation
CHI_10k_step1.log	22a106c60ce2d5e2d56a9182e361e6f15c6005918f60214ae53c991f086268cf	Completed REGENIE v4.1 Step 1 log linked to the final Step 2 prediction list
HELIOS_10k_Chinese_g.log	d82fbd8f1e5a5a91345a1222dc4db770cc271d0813fed6cdc99f64e77808c253	Completed REGENIE v4.1 Step 2 log
HELIOS_10k_Chinese_QCrem_miss02_maf005_hwe1e06.log	f77dec945c9890631b22dc0a1596d55aa52df524355c1dcd1187d8720a46ec96	Completed Chinese REGENIE v4.1 Step 2 record for a 10k trans-ancestry iteration
HELIOS_10k_Indian_QCrem_miss02_maf005_hwe1e06.log	7c1630d5ac2a336cc6367dd81e5548c717176985be20c31dce016fa07f2f6bc9	Completed Indian REGENIE v4.1 Step 2 record for a 10k trans-ancestry iteration
HELIOS_10k_Malay_QCrem_miss02_maf005_hwe1e06.log	91e46fe930f443ecc9b8d6c303b1799f311160c59f3be04a9c6a320ff6cfb511	Completed Malay REGENIE v4.1 Step 2 record for a 10k trans-ancestry iteration
HELIOS_22k_COG_Chinese_QCrem_miss02_maf005_hwe1e06.log	72aa9764d56d9263a70b2d3198cd6a7c62c6de66ce4d11953024938d0c3da31f	Completed Chinese REGENIE v4.1 Step 2 record for the expanded analysis
HELIOS_22k_COG_Indian_QCrem_miss02_maf005_hwe1e06.log	e620f041cba889160d3f0bad8dc8a12c9be41dd99ec1e7480a8b8a80abdf5dba	Completed Indian REGENIE v4.1 Step 2 record for the expanded analysis
HELIOS_22k_COG_Malay_QCrem_miss02_maf005_hwe1e06.log	d5d21f4f2eb6fccf714957de3d06349d46a0d9fe8594f927faef4d591468c191	Completed Malay REGENIE v4.1 Step 2 record for the expanded analysis
REGENIE_QC.sh	ae3940fbaa6181bac411b65abc01e151f92cc2712bce69fa6d92f1ae369dcdff	Historical source for ancestry-specific QC thresholds and output prefixes
REGENIE_step1.sh	fecf420ecb1b46e26e192654e38f6122cf71eb7dd12fdf5418996525062efc1c	Historical source for pruning, QC and PCA commands
convert_helios_b38_to_rsid37.py	893e96d282ed2cbc7f0effdef1cb690c03e28bcf2b5152d2a31af6cf5da56c00	Build-38 to build-37 and rsID conversion script
convert_regenie_to_ldsc.sh	1f326e84a8cd30412d512939728597c5238dee4173414e945d194279728939ed	REGENIE to LDSC conversion script
prune_dataset.sh	78637b6a4c407b3bd3017f7785cf7bb922c97be1e8290f86a5caff4d31080b84	Recovered SG100K pruning command
king_related_samples.sh	df1e6a88c88a1a563194db02f5fab5d45debc73dee5e2e1abeb8af9274a1c55e	Recovered SG100K relatedness command
conduct_pca.sh	c2b4e84a52c2b64bacfca3480c5501b308ce21933f51e355d841b628d6c96147	Recovered SG100K PCA command
run_cov_ldsc.sh	678712e6b015adcdcce29ac12963988742359540e687658a07614bf1d8bf8cd5	Command corroborated by completed chromosome logs
3_GWAS_regenie_metal.sh	1ab60d84df1e99fd9e29aaf2be8e328202ee7883b28afc91bc018cadf72f69f2	Historical source for the ancestry-specific REGENIE and METAL workflow
4_metal_inputfile_g.txt	b1f962362123e3b6b89ec4d84ba2c6afdf73b6b09a5bdcca426898b3d14b9b61	Historical source for the METAL column mapping and inverse-variance model
modified_metal.sh	f76171f9f92da74a18615dcb1448455aeb54e4784c3447ac0a29e77ef9a4b1d7	Historical source for the retained post-METAL filters
metal	c6ed94c6dcaa5a613142ab9571c6a7e96f8d0adebac29d174f10b8e287add126	Archived METAL binary, 2020-05-05 release
HELIOS_COG_All_g_filt2studies_hetp05_AFdiff05.summary.txt	572945b037b67b431e75299f93065e5cfe5f03a9fef38c50f7eea944b94a83c1	Later validated 10k Chinese–Indian–Malay meta-analysis iteration; exact decompressed match to the EC2 archive
HELIOS_OLD_COG_filt2studies_hetp05_AFdiff05.summary.txt	42b53bbfe1255f243bb4552db91609ed7f99c9a38e40042e6e424df24de62af7	Earlier validated 10k Chinese–Indian–Malay meta-analysis iteration
