ancestry	pleio_model	result_type	term	full_name	expected_constituent_traits	available_constituent_traits	missing_constituent_traits	comparison_complete	pleio_tested	pleio_n_genes	pleio_beta	pleio_beta_std	pleio_se	pleio_p	pleio_p_bh	pleio_bonf_threshold	pleio_bonf_sig_positive	pleio_fdr_sig_positive	ea_tested	ea_n_genes	ea_beta	ea_beta_std	ea_se	ea_p	ea_p_bh	ea_bonf_threshold	ea_bonf_sig_positive	ea_fdr_sig_positive	ea_same_beta_sign	cf_tested	cf_n_genes	cf_beta	cf_beta_std	cf_se	cf_p	cf_p_bh	cf_bonf_threshold	cf_bonf_sig_positive	cf_fdr_sig_positive	cf_same_beta_sign	mdd_tested	mdd_n_genes	mdd_beta	mdd_beta_std	mdd_se	mdd_p	mdd_p_bh	mdd_bonf_threshold	mdd_bonf_sig_positive	mdd_fdr_sig_positive	mdd_same_beta_sign	scz_tested	scz_n_genes	scz_beta	scz_beta_std	scz_se	scz_p	scz_p_bh	scz_bonf_threshold	scz_bonf_sig_positive	scz_fdr_sig_positive	scz_same_beta_sign	n_available_constituent_traits	n_missing_constituent_traits	n_constituent_bonf_sig	constituent_traits_bonf_sig	any_constituent_bonf_sig	classification_bonferroni	n_constituent_fdr_sig	constituent_traits_fdr_sig	any_constituent_fdr_sig	classification_fdr
EUR	FOURTRAIT	competitive_gene_set	BIOCARTA_FREE_PATHWAY	BIOCARTA_FREE_PATHWAY	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	9.0	1.645	0.036362	0.49235	0.00041809	0.0413422948837209	2.9397930385700847e-06	False	True	True	9	2.2502	0.049026	0.35375	1.0261e-10	8.72646745e-07	2.9396202010700218e-06	True	True	True	True	9.0	0.66118	0.014455	0.31704	0.018522	0.4757109381598794	2.9397930385700847e-06	False	False	True	True	9.0	0.9442	0.020813	0.32083	0.0016276	0.3042002285714286	2.9397930385700847e-06	False	False	True	True	9.0	-0.4947	-0.01081	0.30036	0.95022	0.9991197108374684	2.9397930385700847e-06	False	False	False	4	0	1	EA	True	constituent_only	1	EA	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	DAWSON_METHYLATED_IN_LYMPHOM...	DAWSON_METHYLATED_IN_LYMPHOMA_TCL1	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	55.0	1.1219	0.06123	0.25141	4.0758e-06	0.001307947290566	2.9397930385700847e-06	False	True	True	57	0.50874	0.027859	0.18774	0.0033685	0.200676463986014	2.9396202010700218e-06	False	False	True	True	57.0	0.3279	0.018017	0.16622	0.024272	0.5199221360201511	2.9397930385700847e-06	False	False	True	True	56.0	0.77158	0.042372	0.16945	2.656e-06	0.01436113	2.9397930385700847e-06	True	True	True	True	57.0	0.25123	0.013798	0.1609	0.059218	0.8007652339413164	2.9397930385700847e-06	False	False	True	4	0	1	MDD	True	constituent_only	1	MDD	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_AXON_DEVELOPMENT	GOBP_AXON_DEVELOPMENT	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	437.0	0.30417	0.046302	0.07738	4.2488e-05	0.0083061598160919	2.9397930385700847e-06	False	True	True	445	0.28517	0.043183	0.062157	2.2531e-06	0.0013686777821428	2.9396202010700218e-06	True	True	True	True	442.0	0.21471	0.032514	0.053138	2.6771e-05	0.0111053943414634	2.9397930385700847e-06	False	True	True	True	438.0	0.084181	0.012794	0.052449	0.054258	0.8980322312138729	2.9397930385700847e-06	False	False	True	True	443.0	0.083613	0.01267	0.052059	0.054135	0.7999274539249146	2.9397930385700847e-06	False	False	True	4	0	1	EA	True	constituent_only	2	EA;CF	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_CELLULAR_COMPONENT_MORP...	GOBP_CELLULAR_COMPONENT_MORPHOGENESIS	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	716.0	0.23013	0.044492	0.061388	8.9126e-05	0.0147076679999999	2.9397930385700847e-06	False	True	True	725	0.22008	0.042215	0.048175	2.4743e-06	0.0014512196103448	2.9396202010700218e-06	True	True	True	True	722.0	0.17777	0.034143	0.041455	9.0509e-06	0.0054977752571428	2.9397930385700847e-06	False	True	True	True	717.0	0.043438	0.0083814	0.041341	0.1467	1.0	2.9397930385700847e-06	False	False	True	True	723.0	0.079638	0.015299	0.040955	0.025925	0.6867967306501549	2.9397930385700847e-06	False	False	True	4	0	1	EA	True	constituent_only	2	EA;CF	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_CELL_JUNCTION_ORGANIZAT...	GOBP_CELL_JUNCTION_ORGANIZATION	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	680.0	0.28261	0.053301	0.06291	3.5466e-06	0.0012310320979591	2.9397930385700847e-06	False	True	True	686	0.19102	0.03568	0.050681	8.2164e-05	0.0186336996799999	2.9396202010700218e-06	False	True	True	True	684.0	0.1972	0.036904	0.042309	1.5849e-06	0.0017495917	2.9397930385700847e-06	True	True	True	True	682.0	0.081274	0.015309	0.04253	0.028012	0.8228464525043178	2.9397930385700847e-06	False	False	True	True	684.0	0.1214	0.022708	0.042034	0.0019401	0.2115206461538461	2.9397930385700847e-06	False	False	True	4	0	1	CF	True	constituent_only	2	EA;CF	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_CELL_MORPHOGENESIS_INVO...	GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	577.0	0.30426	0.053012	0.067894	3.7338e-06	0.0012600260078431	2.9397930385700847e-06	False	True	True	585	0.2794	0.048325	0.053791	1.0401e-07	0.0001344925928571	2.9396202010700218e-06	True	True	True	True	582.0	0.17503	0.030299	0.046224	7.6616e-05	0.0232693737142857	2.9397930385700847e-06	False	True	True	True	578.0	0.06678	0.011614	0.045554	0.071339	0.9449639501557632	2.9397930385700847e-06	False	False	True	True	583.0	0.089178	0.015443	0.045493	0.024991	0.6767237138314786	2.9397930385700847e-06	False	False	True	4	0	1	EA	True	constituent_only	2	EA;CF	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_CENTRAL_NERVOUS_SYSTEM_...1	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	982.0	0.19446	0.043697	0.051792	8.7085e-05	0.014520996862745	2.9397930385700847e-06	False	True	True	1002	0.16753	0.037491	0.040836	2.0518e-05	0.00717303548	2.9396202010700218e-06	False	True	True	True	998.0	0.18411	0.041255	0.035231	8.7693e-08	0.0002130689348571	2.9397930385700847e-06	True	True	True	True	986.0	0.076536	0.017186	0.035111	0.014643	0.7160904068767909	2.9397930385700847e-06	False	False	True	True	996.0	0.11619	0.025999	0.034644	0.00039939	0.0828393307317073	2.9397930385700847e-06	False	False	True	4	0	1	CF	True	constituent_only	2	EA;CF	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_CENTRAL_NERVOUS_SYSTEM_...7	GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	161.0	0.58482	0.054449	0.13018	3.546e-06	0.0012310320979591	2.9397930385700847e-06	False	True	True	170	0.35391	0.033369	0.10373	0.00032334	0.048669823539823	2.9396202010700218e-06	False	True	True	True	170.0	0.41551	0.03931	0.088518	1.3489e-06	0.0016387207999999	2.9397930385700847e-06	True	True	True	True	163.0	0.24741	0.023113	0.085395	0.0018846	0.3249902383838384	2.9397930385700847e-06	False	False	True	True	168.0	0.22456	0.021111	0.086613	0.0047651	0.3575051629955947	2.9397930385700847e-06	False	False	True	4	0	1	CF	True	constituent_only	2	EA;CF	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_HEAD_DEVELOPMENT	GOBP_HEAD_DEVELOPMENT	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	760.0	0.2529	0.05031	0.058512	7.7711e-06	0.0023601940857142	2.9397930385700847e-06	False	True	True	775	0.18389	0.03642	0.046017	3.2309e-05	0.0091590630166666	2.9396202010700218e-06	False	True	True	True	772.0	0.20628	0.040911	0.039756	1.0711e-07	0.00022771586	2.9397930385700847e-06	True	True	True	True	764.0	0.075036	0.014925	0.039529	0.028842	0.8281523031301483	2.9397930385700847e-06	False	False	True	True	771.0	0.13227	0.026205	0.038967	0.00034452	0.0741721032911392	2.9397930385700847e-06	False	False	True	4	0	1	CF	True	constituent_only	2	EA;CF	True	PLEIO_shared_with_available_constituent
EUR	FOURTRAIT	competitive_gene_set	GOBP_INTRINSIC_APOPTOTIC_SIG...9	GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OXIDATIVE_STRESS	EA;CF;MDD;SCZ	EA;CF;MDD;SCZ		True	True	40.0	0.76311	0.035531	0.2293	0.0004383	0.0428425655172413	2.9397930385700847e-06	False	True	True	42	0.76573	0.036008	0.1633	1.3816e-06	0.0009038320923076	2.9396202010700218e-06	True	True	True	True	42.0	0.14432	0.0068098	0.15345	0.17349	0.8760223113207548	2.9397930385700847e-06	False	False	True	True	40.0	0.16929	0.0078604	0.16291	0.14938	1.0	2.9397930385700847e-06	False	False	True	True	42.0	0.041952	0.0019786	0.15528	0.39352	0.9969137546076884	2.9397930385700847e-06	False	False	True	4	0	1	EA	True	constituent_only	1	EA	True	PLEIO_shared_with_available_constituent
