ancestry	result_type	term	n_pleio_models_tested	pleio_models_tested	n_pleio_models_bonf_sig	pleio_models_bonf_sig	n_pleio_models_fdr_sig	pleio_models_fdr_sig
EUR	competitive_gene_set	BIOCARTA_FLUMAZENIL_PATHWAY	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT
EUR	competitive_gene_set	BIOCARTA_FREE_PATHWAY	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT	1	MDD_3TRAIT	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT
EUR	competitive_gene_set	BLALOCK_ALZHEIMERS_DISEASE_DN	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT
EUR	competitive_gene_set	DAWSON_METHYLATED_IN_LYMPHOM...	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT	1	MDD_3TRAIT	2	FOURTRAIT;MDD_3TRAIT
EUR	competitive_gene_set	GOBP_CELLULAR_COMPONENT_MORP...	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT	1	SCZ_3TRAIT	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT
EUR	competitive_gene_set	GOBP_CELL_JUNCTION_ASSEMBLY	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT	1	FOURTRAIT	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT
EUR	competitive_gene_set	GOBP_CELL_MORPHOGENESIS	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT
EUR	competitive_gene_set	GOBP_CELL_MORPHOGENESIS_INVO...	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT	1	SCZ_3TRAIT	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT
EUR	competitive_gene_set	GOBP_CELL_PART_MORPHOGENESIS	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT
EUR	competitive_gene_set	GOBP_CENTRAL_NERVOUS_SYSTEM_...1	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT	1	SCZ_3TRAIT	3	FOURTRAIT;MDD_3TRAIT;SCZ_3TRAIT
