ancestry	source_run_label	run_relative_path	run_key	inferred_label	inferred_label_status	analysis_label	analysis_label_status	result_type	source_file	p_column	beta_column	type_column	expected_magma_type	n_rows_total	n_rows_in_correction	n_valid_p	bonferroni_threshold	n_bonferroni_significant_positive	n_fdr_significant_positive	min_p	min_p_positive_beta	status
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.out	P	BETA	TYPE	SET	17008	17008	17008	2.9397930385700847e-06	46	192	3.7691e-12	3.7691e-12	parsed
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gene_set_membership	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma.gsa.sets.genes.out					30006	0	0	NA	0	0	NA	NA	membership_only
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	54	54	54	0.000925925925925926	14	14	1.01e-43	1.01e-43	parsed
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	30	30	30	0.0016666666666666668	4	4	3.9547e-42	3.9547e-42	parsed
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma.gsa.out	P	BETA	TYPE	SET	17008	17008	17008	2.9397930385700847e-06	40	169	2.3732e-11	2.3732e-11	parsed
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gene_set_membership	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma.gsa.sets.genes.out					26390	0	0	NA	0	0	NA	NA	membership_only
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	54	54	54	0.000925925925925926	14	14	4.4958e-34	4.4958e-34	parsed
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	30	30	30	0.0016666666666666668	3	5	1.5077000000000001e-34	1.5077000000000001e-34	parsed
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma.gsa.out	P	BETA	TYPE	SET	17008	17008	17008	2.9397930385700847e-06	29	145	1.1421e-11	1.1421e-11	parsed
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gene_set_membership	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma.gsa.sets.genes.out					20561	0	0	NA	0	0	NA	NA	membership_only
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	54	54	54	0.000925925925925926	14	14	4.7226e-33	4.7226e-33	parsed
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	30	30	30	0.0016666666666666668	2	2	6.9932e-33	6.9932e-33	parsed
EAS	FUMA_EAS_4traitPLEIO	EAS/FUMA_EAS_4traitPLEIO	EAS/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/PLEIO/EAS_summary/FUMA_EAS_4traitPLEIO/magma.gsa.out	P	BETA	TYPE	SET	17000	17000	17000	2.9411764705882355e-06	0	0	2.6438e-05	2.6438e-05	parsed
EAS	FUMA_EAS_4traitPLEIO	EAS/FUMA_EAS_4traitPLEIO	EAS/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/PLEIO/EAS_summary/FUMA_EAS_4traitPLEIO/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	54	54	54	0.000925925925925926	5	8	1.5575e-06	1.5575e-06	parsed
EAS	FUMA_EAS_4traitPLEIO	EAS/FUMA_EAS_4traitPLEIO	EAS/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/PLEIO/EAS_summary/FUMA_EAS_4traitPLEIO/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	30	30	30	0.0016666666666666668	1	1	6.6798e-05	6.6798e-05	parsed
EAS	FUMA_EAS_3traitPLEIO_MDD_EA_CF	EAS/FUMA_EAS_3traitPLEIO_MDD_EA_CF	EAS/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/PLEIO/EAS_summary/FUMA_EAS_3traitPLEIO_MDD_EA_CF/magma.gsa.out	P	BETA	TYPE	SET	17000	17000	17000	2.9411764705882355e-06	0	0	8.1441e-06	8.1441e-06	parsed
EAS	FUMA_EAS_3traitPLEIO_MDD_EA_CF	EAS/FUMA_EAS_3traitPLEIO_MDD_EA_CF	EAS/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/PLEIO/EAS_summary/FUMA_EAS_3traitPLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	54	54	54	0.000925925925925926	5	9	0.00018927	0.00018927	parsed
EAS	FUMA_EAS_3traitPLEIO_MDD_EA_CF	EAS/FUMA_EAS_3traitPLEIO_MDD_EA_CF	EAS/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/PLEIO/EAS_summary/FUMA_EAS_3traitPLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	30	30	30	0.0016666666666666668	1	1	0.00040027	0.00040027	parsed
EAS	FUMA_EAS_3traitPLEIO_SCZ_EA_CF	EAS/FUMA_EAS_3traitPLEIO_SCZ_EA_CF	EAS/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	competitive_gene_set	/home/ec2-user/project2/RESULTS/PLEIO/EAS_summary/FUMA_EAS_3traitPLEIO_SCZ_EA_CF/magma.gsa.out	P	BETA	TYPE	SET	17000	17000	17000	2.9411764705882355e-06	0	0	3.4472e-06	3.4472e-06	parsed
EAS	FUMA_EAS_3traitPLEIO_SCZ_EA_CF	EAS/FUMA_EAS_3traitPLEIO_SCZ_EA_CF	EAS/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/PLEIO/EAS_summary/FUMA_EAS_3traitPLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	54	54	54	0.000925925925925926	5	8	2.6052e-06	2.6052e-06	parsed
EAS	FUMA_EAS_3traitPLEIO_SCZ_EA_CF	EAS/FUMA_EAS_3traitPLEIO_SCZ_EA_CF	EAS/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/PLEIO/EAS_summary/FUMA_EAS_3traitPLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	30	30	30	0.0016666666666666668	1	1	5.5241e-05	5.5241e-05	parsed
