ancestry	source_run_label	run_relative_path	run_key	inferred_label	inferred_label_status	analysis_label	analysis_label_status	result_type	source_file	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	expected_magma_type	included_in_correction	p_numeric	n_tests_in_file	bonferroni_threshold	p_bh	significant_bonferroni	significant_fdr	p_rank_within_file	beta_numeric	positive_beta	significant_bonferroni_positive	significant_fdr_positive
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Amygdala	COVAR	16926	0.14081	0.23871	0.014519	1.7656e-22	Brain_Amygdala	COVAR	True	1.7656e-22	54	0.000925925925925926	9.534239999999999e-22	True	True	10.0	0.14081	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Anterior_cingulate_cor...	COVAR	16926	0.15555	0.27342	0.01338	2.0524e-31	Brain_Anterior_cingulate_cortex_BA24	COVAR	True	2.0524e-31	54	0.000925925925925926	2.216592e-30	True	True	5.0	0.15555	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Caudate_basal_ganglia	COVAR	16926	0.14121	0.24267	0.014547	1.6208e-22	Brain_Caudate_basal_ganglia	COVAR	True	1.6208e-22	54	0.000925925925925926	9.534239999999999e-22	True	True	9.0	0.14121	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cerebellar_Hemisphere	COVAR	16926	0.15528	0.3105	0.011204	1.01e-43	Brain_Cerebellar_Hemisphere	COVAR	True	1.01e-43	54	0.000925925925925926	5.454e-42	True	True	1.0	0.15528	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cerebellum	COVAR	16926	0.15621	0.30891	0.011551	9.8794e-42	Brain_Cerebellum	COVAR	True	9.8794e-42	54	0.000925925925925926	2.667438e-40	True	True	2.0	0.15621	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cortex	COVAR	16926	0.16618	0.30153	0.013205	1.9243e-36	Brain_Cortex	COVAR	True	1.9243e-36	54	0.000925925925925926	2.597805e-35	True	True	4.0	0.16618	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Frontal_Cortex_BA9	COVAR	16926	0.16748	0.30703	0.012712	9.9604e-40	Brain_Frontal_Cortex_BA9	COVAR	True	9.960399999999999e-40	54	0.000925925925925926	1.7928719999999998e-38	True	True	3.0	0.16748	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Hippocampus	COVAR	16926	0.14652	0.24686	0.014766	1.9432e-23	Brain_Hippocampus	COVAR	True	1.9432e-23	54	0.000925925925925926	1.31166e-22	True	True	8.0	0.14652	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Hypothalamus	COVAR	16926	0.14968	0.25621	0.014967	8.8968e-24	Brain_Hypothalamus	COVAR	True	8.8968e-24	54	0.000925925925925926	6.863245714285715e-23	True	True	7.0	0.14968	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Nucleus_accumbens_basa...	COVAR	16926	0.14687	0.25353	0.014055	8.9481e-26	Brain_Nucleus_accumbens_basal_ganglia	COVAR	True	8.948099999999999e-26	54	0.000925925925925926	8.053289999999999e-25	True	True	6.0	0.14687	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Putamen_basal_ganglia	COVAR	16926	0.13192	0.22343	0.014668	1.3371e-19	Brain_Putamen_basal_ganglia	COVAR	True	1.3371000000000001e-19	54	0.000925925925925926	6.563945454545455e-19	True	True	11.0	0.13192	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Spinal_cord_cervical_c...	COVAR	16926	0.090807	0.16248	0.015888	5.5668e-09	Brain_Spinal_cord_cervical_c-1	COVAR	True	5.5668e-09	54	0.000925925925925926	2.1471942857142858e-08	True	True	14.0	0.090807	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Substantia_nigra	COVAR	16926	0.1014	0.17376	0.015821	7.5216e-11	Brain_Substantia_nigra	COVAR	True	7.5216e-11	54	0.000925925925925926	3.124356923076923e-10	True	True	13.0	0.1014	True	True	True
EUR	PLEIO	EUR/PLEIO	EUR/FOURTRAIT	FOURTRAIT	explicit_manifest	FOURTRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/PLEIO/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Pituitary	COVAR	16926	0.10673	0.19769	0.016553	5.8485e-11	Pituitary	COVAR	True	5.8485e-11	54	0.000925925925925926	2.6318250000000004e-10	True	True	12.0	0.10673	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Amygdala	COVAR	16907	0.12512	0.2121	0.014422	2.2623e-18	Brain_Amygdala	COVAR	True	2.2623e-18	54	0.000925925925925926	1.221642e-17	True	True	10.0	0.12512	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Anterior_cingulate_cor...	COVAR	16907	0.13758	0.24183	0.013268	2.0692e-25	Brain_Anterior_cingulate_cortex_BA24	COVAR	True	2.0692e-25	54	0.000925925925925926	2.234736e-24	True	True	5.0	0.13758	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Caudate_basal_ganglia	COVAR	16907	0.12838	0.22063	0.014451	3.5855e-19	Brain_Caudate_basal_ganglia	COVAR	True	3.5855e-19	54	0.000925925925925926	2.1513000000000003e-18	True	True	9.0	0.12838	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cerebellar_Hemisphere	COVAR	16907	0.13444	0.26882	0.011072	4.4958e-34	Brain_Cerebellar_Hemisphere	COVAR	True	4.4958e-34	54	0.000925925925925926	2.4277320000000003e-32	True	True	1.0	0.13444	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cerebellum	COVAR	16907	0.13602	0.26898	0.011415	6.7742e-33	Brain_Cerebellum	COVAR	True	6.774200000000001e-33	54	0.000925925925925926	1.8290340000000004e-31	True	True	2.0	0.13602	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cortex	COVAR	16907	0.1494	0.27109	0.013098	2.5528e-30	Brain_Cortex	COVAR	True	2.5528e-30	54	0.000925925925925926	3.44628e-29	True	True	4.0	0.1494	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Frontal_Cortex_BA9	COVAR	16907	0.14954	0.27415	0.012615	1.4154e-32	Brain_Frontal_Cortex_BA9	COVAR	True	1.4154e-32	54	0.000925925925925926	2.54772e-31	True	True	3.0	0.14954	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Hippocampus	COVAR	16907	0.13216	0.22265	0.014695	1.3387e-19	Brain_Hippocampus	COVAR	True	1.3387e-19	54	0.000925925925925926	9.036225e-19	True	True	8.0	0.13216	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Hypothalamus	COVAR	16907	0.13502	0.23111	0.014855	5.5937e-20	Brain_Hypothalamus	COVAR	True	5.593700000000001e-20	54	0.000925925925925926	4.3151400000000008e-19	True	True	7.0	0.13502	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Nucleus_accumbens_basa...	COVAR	16907	0.12992	0.22428	0.013945	6.7817e-21	Brain_Nucleus_accumbens_basal_ganglia	COVAR	True	6.7817e-21	54	0.000925925925925926	6.10353e-20	True	True	6.0	0.12992	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Putamen_basal_ganglia	COVAR	16907	0.12067	0.20439	0.014578	6.7957e-17	Brain_Putamen_basal_ganglia	COVAR	True	6.7957e-17	54	0.000925925925925926	3.336070909090909e-16	True	True	11.0	0.12067	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Spinal_cord_cervical_c...	COVAR	16907	0.087245	0.15611	0.015804	1.7174e-08	Brain_Spinal_cord_cervical_c-1	COVAR	True	1.7174e-08	54	0.000925925925925926	6.624257142857142e-08	True	True	14.0	0.087245	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Substantia_nigra	COVAR	16907	0.094494	0.16193	0.015756	1.0249e-09	Brain_Substantia_nigra	COVAR	True	1.0249e-09	54	0.000925925925925926	4.257276923076923e-09	True	True	13.0	0.094494	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Pituitary	COVAR	16907	0.10078	0.18667	0.016357	3.6987e-10	Pituitary	COVAR	True	3.6987e-10	54	0.000925925925925926	1.664415e-09	True	True	12.0	0.10078	True	True	True
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Amygdala	COVAR	16907	0.11976	0.20302	0.014548	9.8997e-17	Brain_Amygdala	COVAR	True	9.8997e-17	54	0.000925925925925926	5.345838e-16	True	True	10.0	0.11976	True	True	True
