ancestry	run_label_raw	run_relative_path	run_key	canonical_label_auto	canonical_label_status_auto	canonical_label_final	canonical_label_status_final	result_type	source_file	p_column	beta_column	type_column	expected_magma_type	n_rows_total	n_rows_in_correction	n_valid_p	bonferroni_threshold	n_bonferroni_significant_positive	n_fdr_significant_positive	min_p	min_p_positive_beta	status
EAS	EDU	EDU	EAS/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/EDU/magma.gsa.out	P	BETA	TYPE	SET	17009	17009	17009	2.9396202010700218e-06	0	0	2.3411e-05	2.3411e-05	parsed
EAS	EDU	EDU	EAS/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	54	54	54	0.000925925925925926	2	2	7.3252e-06	7.3252e-06	parsed
EAS	EDU	EDU	EAS/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/EDU/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	30	30	30	0.0016666666666666668	0	0	0.00691	0.00691	parsed
EAS	MDD	MDD	EAS/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/MDD/magma.gsa.out	P	BETA	TYPE	SET	17009	17009	17009	2.9396202010700218e-06	3	4	1.9716e-07	1.9716e-07	parsed
EAS	MDD	MDD	EAS/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gene_set_membership	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/MDD/magma.gsa.sets.genes.out					20	0	0	NA	0	0	NA	NA	membership_only
EAS	MDD	MDD	EAS/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/MDD/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	54	54	54	0.000925925925925926	0	0	0.07759	0.07759	parsed
EAS	MDD	MDD	EAS/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/MDD/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	30	30	30	0.0016666666666666668	0	0	0.03132	0.03132	parsed
EAS	SCZ	SCZ	EAS/SCZ	SCZ	inferred_exact	SCZ	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/SCZ/magma.gsa.out	P	BETA	TYPE	SET	17009	17009	17009	2.9396202010700218e-06	0	0	3.1421e-05	3.1421e-05	parsed
EAS	SCZ	SCZ	EAS/SCZ	SCZ	inferred_exact	SCZ	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/SCZ/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	54	54	54	0.000925925925925926	5	9	1.4283e-05	1.4283e-05	parsed
EAS	SCZ	SCZ	EAS/SCZ	SCZ	inferred_exact	SCZ	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/SCZ/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	30	30	30	0.0016666666666666668	1	1	4.6763e-05	4.6763e-05	parsed
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	P	BETA	TYPE	SET	17009	17009	17009	2.9396202010700218e-06	30	115	4.6095e-12	4.6095e-12	parsed
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gene_set_membership	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.sets.genes.out					10594	0	0	NA	0	0	NA	NA	membership_only
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	54	54	54	0.000925925925925926	15	15	1.3877e-26	1.3877e-26	parsed
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	30	30	30	0.0016666666666666668	4	5	3.9369e-24	3.9369e-24	parsed
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma.gsa.out	P	BETA	TYPE	SET	17008	17008	17008	2.9397930385700847e-06	16	79	1.3087e-12	1.3087e-12	parsed
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gene_set_membership	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma.gsa.sets.genes.out					10710	0	0	NA	0	0	NA	NA	membership_only
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	54	54	54	0.000925925925925926	14	14	1.2063e-23	1.2063e-23	parsed
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	30	30	30	0.0016666666666666668	3	4	1.5012e-23	1.5012e-23	parsed
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma.gsa.out	P	BETA	TYPE	SET	17008	17008	17008	2.9397930385700847e-06	3	21	2.1812e-06	2.1812e-06	parsed
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gene_set_membership	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma.gsa.sets.genes.out					240	0	0	NA	0	0	NA	NA	membership_only
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	54	54	54	0.000925925925925926	13	14	6.4361e-15	6.4361e-15	parsed
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	30	30	30	0.0016666666666666668	2	3	2.9447e-13	2.9447e-13	parsed
EUR	SCZ	SCZ	EUR/SCZ	SCZ	inferred_exact	SCZ	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/SCZ/magma.gsa.out	P	BETA	TYPE	SET	17008	17008	17008	2.9397930385700847e-06	20	62	2.6036e-10	2.6036e-10	parsed
EUR	SCZ	SCZ	EUR/SCZ	SCZ	inferred_exact	SCZ	strict_path_allowlist	gene_set_membership	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/SCZ/magma.gsa.sets.genes.out					8049	0	0	NA	0	0	NA	NA	membership_only
EUR	SCZ	SCZ	EUR/SCZ	SCZ	inferred_exact	SCZ	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/SCZ/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	54	54	54	0.000925925925925926	14	14	8.0591e-23	8.0591e-23	parsed
EUR	SCZ	SCZ	EUR/SCZ	SCZ	inferred_exact	SCZ	strict_path_allowlist	gtex_v8_general_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/SCZ/magma_exp_gtex_v8_ts_general_avg_log2TPM.gsa.out	P	BETA	TYPE	COVAR	30	30	30	0.0016666666666666668	2	2	1.6997e-21	1.6997e-21	parsed
