ancestry	run_label_raw	run_relative_path	run_key	canonical_label_auto	canonical_label_status_auto	canonical_label_final	canonical_label_status_final	result_type	source_file	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	expected_magma_type	included_in_correction	p_numeric	n_tests_in_file	bonferroni_threshold	p_bh	significant_bonferroni	significant_fdr	p_rank_within_file	beta_numeric	positive_beta	significant_bonferroni_positive	significant_fdr_positive
EAS	EDU	EDU	EAS/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cerebellar_Hemisphere	COVAR	17212	0.027655	0.05543	0.0063791	7.3252e-06	Brain_Cerebellar_Hemisphere	COVAR	True	7.3252e-06	54	0.000925925925925926	0.0002141694	True	True	1.0	0.027655	True	True	True
EAS	EDU	EDU	EAS/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cerebellum	COVAR	17212	0.028395	0.056299	0.0065764	7.9322e-06	Brain_Cerebellum	COVAR	True	7.9322e-06	54	0.000925925925925926	0.0002141694	True	True	2.0	0.028395	True	True	True
EAS	SCZ	SCZ	EAS/SCZ	SCZ	inferred_exact	SCZ	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/SCZ/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Anterior_cingulate_cor...	COVAR	17352	0.023787	0.042028	0.0075461	0.00081163	Brain_Anterior_cingulate_cortex_BA24	COVAR	True	0.00081163	54	0.000925925925925926	0.008765604	True	True	5.0	0.023787	True	True	True
EAS	SCZ	SCZ	EAS/SCZ	SCZ	inferred_exact	SCZ	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/SCZ/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cerebellar_Hemisphere	COVAR	17352	0.026666	0.053522	0.0063707	1.4283e-05	Brain_Cerebellar_Hemisphere	COVAR	True	1.4283e-05	54	0.000925925925925926	0.000771282	True	True	1.0	0.026666	True	True	True
EAS	SCZ	SCZ	EAS/SCZ	SCZ	inferred_exact	SCZ	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/SCZ/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cerebellum	COVAR	17352	0.025999	0.051625	0.0065674	3.782e-05	Brain_Cerebellum	COVAR	True	3.782e-05	54	0.000925925925925926	0.00102114	True	True	2.0	0.025999	True	True	True
EAS	SCZ	SCZ	EAS/SCZ	SCZ	inferred_exact	SCZ	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/SCZ/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cortex	COVAR	17352	0.024882	0.045389	0.007468	0.00043236	Brain_Cortex	COVAR	True	0.00043236	54	0.000925925925925926	0.00583686	True	True	4.0	0.024882	True	True	True
EAS	SCZ	SCZ	EAS/SCZ	SCZ	inferred_exact	SCZ	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EAS/SCZ/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Frontal_Cortex_BA9	COVAR	17352	0.026772	0.049345	0.0071967	9.9938e-05	Brain_Frontal_Cortex_BA9	COVAR	True	9.9938e-05	54	0.000925925925925926	0.001798884	True	True	3.0	0.026772	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Amygdala	COVAR	17276	0.082276	0.14009	0.011678	9.5996e-13	Brain_Amygdala	COVAR	True	9.5996e-13	54	0.000925925925925926	5.759760000000001e-12	True	True	9.0	0.082276	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Anterior_cingulate_cor...	COVAR	17276	0.090868	0.16041	0.01078	1.8792e-17	Brain_Anterior_cingulate_cortex_BA24	COVAR	True	1.8792e-17	54	0.000925925925925926	2.0295360000000002e-16	True	True	5.0	0.090868	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Caudate_basal_ganglia	COVAR	17276	0.080571	0.13909	0.011736	3.4321e-12	Brain_Caudate_basal_ganglia	COVAR	True	3.4321e-12	54	0.000925925925925926	1.853334e-11	True	True	10.0	0.080571	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cerebellar_Hemisphere	COVAR	17276	0.096126	0.19281	0.0090472	1.3877e-26	Brain_Cerebellar_Hemisphere	COVAR	True	1.3877e-26	54	0.000925925925925926	7.493580000000001e-25	True	True	1.0	0.096126	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cerebellum	COVAR	17276	0.096154	0.19079	0.0093222	3.6079e-25	Brain_Cerebellum	COVAR	True	3.6079000000000005e-25	54	0.000925925925925926	9.741330000000002e-24	True	True	2.0	0.096154	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cortex	COVAR	17276	0.097951	0.17851	0.010668	2.3698e-20	Brain_Cortex	COVAR	True	2.3698e-20	54	0.000925925925925926	3.19923e-19	True	True	4.0	0.097951	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Frontal_Cortex_BA9	COVAR	17276	0.098627	0.18159	0.010286	5.1046e-22	Brain_Frontal_Cortex_BA9	COVAR	True	5.1046e-22	54	0.000925925925925926	9.18828e-21	True	True	3.0	0.098627	True	True	True
