# TOTAL_GENES = 17212
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17212    -0.021766     -0.04338     0.011353      0.97238 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17212     -0.03126    -0.060627     0.011787        0.996 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17212   -0.0089373     -0.01723     0.010529        0.802 Adrenal_Gland
Artery_Aorta                        COVAR   17212    -0.014722    -0.030009     0.010754      0.91448 Artery_Aorta
Artery_Coronary                     COVAR   17212    -0.015619    -0.031049     0.012488      0.89447 Artery_Coronary
Artery_Tibial                       COVAR   17212   -0.0014842   -0.0030526     0.010545      0.55596 Artery_Tibial
Bladder                             COVAR   17212   -0.0038137   -0.0074205     0.013805      0.60882 Bladder
Brain_Amygdala                      COVAR   17212    0.0067243     0.011437    0.0082171      0.20659 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17212     0.013226     0.023325    0.0075764     0.040442 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17212     0.011779     0.020312    0.0082809     0.077461 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17212     0.027655      0.05543    0.0063791   7.3252e-06 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17212     0.028395     0.056299    0.0065764   7.9322e-06 Brain_Cerebellum
Brain_Cortex                        COVAR   17212     0.017075     0.031087    0.0074905     0.011324 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17212     0.018016     0.033138    0.0072216     0.006309 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17212    0.0072711     0.012292    0.0083601      0.19223 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17212     0.008989     0.015443    0.0084676      0.14422 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17212     0.012686     0.021973     0.007993     0.056255 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17212    0.0070438     0.011968    0.0083308      0.19892 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17212   -0.0021785   -0.0039089    0.0090588      0.59502 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17212   -0.0032094   -0.0055159    0.0089917      0.63943 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17212    -0.031175    -0.059852     0.013298      0.99046 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17212    0.0060375     0.012926    0.0068608      0.18944 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17212    0.0072444     0.015801    0.0051339     0.079119 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17212    0.0014077    0.0027542     0.012812      0.45626 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17212     0.011555     0.022834      0.01221      0.17198 Cervix_Endocervix
Colon_Sigmoid                       COVAR   17212     0.018318      0.03579     0.013216     0.082872 Colon_Sigmoid
Colon_Transverse                    COVAR   17212    -0.016836    -0.030903     0.012233      0.91562 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   17212    0.0087994     0.017299      0.01351      0.25742 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   17212    -0.019425    -0.037502    0.0079034      0.99301 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   17212    0.0097229     0.019154     0.013073      0.22851 Esophagus_Muscularis
Fallopian_Tube                      COVAR   17212    -0.014944    -0.028936     0.012512      0.88382 Fallopian_Tube
Heart_Atrial_Appendage              COVAR   17212    -0.010171    -0.018239    0.0098203      0.84981 Heart_Atrial_Appendage
Heart_Left_Ventricle                COVAR   17212    -0.013409    -0.022361     0.009364      0.92392 Heart_Left_Ventricle
Kidney_Cortex                       COVAR   17212    -0.015207    -0.026681    0.0093824      0.94746 Kidney_Cortex
Kidney_Medulla                      COVAR   17212   -0.0086137      -0.0159    0.0096714      0.81343 Kidney_Medulla
Liver                               COVAR   17212    -0.022979    -0.041343    0.0066713      0.99971 Liver
Lung                                COVAR   17212     -0.02041    -0.039387    0.0096713      0.98258 Lung
Minor_Salivary_Gland                COVAR   17212    -0.020751     -0.03855     0.010029      0.98073 Minor_Salivary_Gland
Muscle_Skeletal                     COVAR   17212   -0.0026588   -0.0050267    0.0072562      0.64297 Muscle_Skeletal
Nerve_Tibial                        COVAR   17212     0.010048     0.020189     0.010602      0.17165 Nerve_Tibial
Ovary                               COVAR   17212     0.013438     0.027206     0.010159     0.092973 Ovary
Pancreas                            COVAR   17212   -0.0082852    -0.013841     0.008792      0.82699 Pancreas
Pituitary                           COVAR   17212     0.017344     0.032266    0.0093508      0.03182 Pituitary
Prostate                            COVAR   17212  -0.00091709   -0.0017364     0.012588      0.52904 Prostate
Skin_Not_Sun_Exposed_Suprapu...     COVAR   17212    -0.017015    -0.032762    0.0080553      0.98266 Skin_Not_Sun_Exposed_Suprapubic
Skin_Sun_Exposed_Lower_leg          COVAR   17212    -0.016595    -0.032148    0.0080845      0.97994 Skin_Sun_Exposed_Lower_leg
Small_Intestine_Terminal_Ile...     COVAR   17212    -0.018023    -0.033079     0.010108       0.9627 Small_Intestine_Terminal_Ileum
Spleen                              COVAR   17212   -0.0087476    -0.017314    0.0076801      0.87264 Spleen
Stomach                             COVAR   17212    -0.029923    -0.054272     0.012607      0.99118 Stomach
Testis                              COVAR   17212    0.0073987     0.012747    0.0058278      0.10213 Testis
Thyroid                             COVAR   17212   -0.0041058   -0.0081179     0.010175      0.65671 Thyroid
Uterus                              COVAR   17212     0.010314     0.020983     0.011454      0.18394 Uterus
Vagina                              COVAR   17212    -0.013111     -0.02502     0.011517      0.87252 Vagina
Whole_Blood                         COVAR   17212   -0.0047979    -0.008668    0.0058965      0.79208 Whole_Blood
