# MEAN_SAMPLE_SIZE = 74380
# TOTAL_GENES = 17852
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      21      -0.2376   -0.0081447      0.26987      0.81068 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      38    -0.014424  -0.00066481      0.22272      0.52582 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       6     0.041545   0.00076153      0.61128      0.47291 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      12      0.17313    0.0044872      0.35859      0.31462 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16      0.19972    0.0059766      0.27844       0.2366 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      12      0.15635    0.0040523      0.40015        0.348 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      40     0.089951    0.0042532      0.21127      0.33515 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      17     -0.27053   -0.0083444      0.32215      0.79947 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      31      0.18649    0.0077648      0.21425      0.19203 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      27     0.078175     0.003038      0.23428      0.36931 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20      0.32951     0.011023      0.28039      0.11997 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      23    -0.012506   -0.0004486      0.28113      0.51774 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      38     -0.19608   -0.0090374      0.18017      0.86177 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     498    -0.062142    -0.010233     0.056514      0.86424 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     878     0.027477     0.005942     0.043208      0.26242 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     143     -0.06969   -0.0062124      0.11438      0.72882 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     236     0.039192    0.0044764     0.092998      0.33673 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      90      -0.2794    -0.019789      0.13372      0.98166 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     117    -0.055432   -0.0044729      0.13093      0.66398 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     256    -0.085779    -0.010198     0.074296      0.87586 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     763     0.047407    0.0095893     0.045292      0.14763 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     683     0.059404     0.011395     0.053028      0.13132 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     318     0.010122    0.0013389     0.067719      0.44059 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     157    -0.012574    -0.001174     0.095829       0.5522 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1         SET      99      0.12604    0.0093605      0.12356      0.15386 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2         SET      77      0.13956    0.0091464      0.13286      0.14675 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...          SET      63      0.19191     0.011381      0.17353      0.13439 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN                     SET     231    -0.066732   -0.0075419     0.083088      0.78905 AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP                     SET     178    0.0049575   0.00049257      0.10011      0.48025 AFFAR_YY1_TARGETS_UP
AGARWAL_AKT_PATHWAY_TARGETS              SET      10     -0.89294    -0.021128      0.45113       0.9761 AGARWAL_AKT_PATHWAY_TARGETS
AGUIRRE_PANCREATIC_CANCER_CO...1         SET     174      0.14793     0.014534      0.10515     0.079739 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
AGUIRRE_PANCREATIC_CANCER_CO...2         SET     283    -0.015518   -0.0019384     0.084087      0.57321 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
AIGNER_ZEB1_TARGETS                      SET      32    -0.031054   -0.0013136      0.25059      0.54931 AIGNER_ZEB1_TARGETS
AIYAR_COBRA1_TARGETS_DN                  SET      26     -0.22106   -0.0084303      0.23175      0.82992 AIYAR_COBRA1_TARGETS_DN
AIYAR_COBRA1_TARGETS_UP                  SET      35    -0.018801   -0.0008317      0.24657      0.53039 AIYAR_COBRA1_TARGETS_UP
