# TOTAL_GENES = 18870
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      22      0.30454     0.010393      0.19174     0.056113 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      40      0.31502     0.014489      0.13406    0.0093956 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7     -0.50493   -0.0097235       0.3596      0.91985 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      12    -0.037946  -0.00095662      0.23183      0.56501 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16      0.15354    0.0044691      0.23273      0.25471 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13     0.098507    0.0025847      0.22281      0.32921 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      41     0.085235    0.0039688      0.13131      0.25814 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      18      0.24339    0.0075138      0.18039     0.088642 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      31      0.17284    0.0069998      0.13246     0.095986 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      28      0.28392     0.010929      0.14344     0.023899 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20   -0.0037697  -0.00012266      0.17091       0.5088 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      26     0.016403   0.00060848       0.1603      0.45925 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
