# MEAN_SAMPLE_SIZE = 32385
# TOTAL_GENES = 16419
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   16419    -0.022918    -0.045523     0.016875      0.91277 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   16419    -0.024163    -0.046684     0.017585      0.91527 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   16419    -0.013472    -0.025871     0.015677      0.80492 Adrenal_Gland
Artery_Aorta                        COVAR   16419    -0.027556    -0.056005     0.016094      0.95656 Artery_Aorta
Artery_Coronary                     COVAR   16419    -0.022772    -0.045117      0.01863      0.88919 Artery_Coronary
Artery_Tibial                       COVAR   16419   -0.0054169    -0.011109      0.01567      0.63521 Artery_Tibial
Bladder                             COVAR   16419    -0.015488    -0.030005     0.020488      0.77515 Bladder
Brain_Amygdala                      COVAR   16419     0.036787     0.062236     0.012305    0.0013987 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   16419       0.0366     0.064186      0.01138   0.00065088 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   16419     0.032546     0.055836     0.012341    0.0041844 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   16419      0.03174     0.063394    0.0095502   0.00044562 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   16419     0.033404     0.065965    0.0098476   0.00034776 Brain_Cerebellum
Brain_Cortex                        COVAR   16419     0.038136     0.069036     0.011219   0.00033872 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   16419     0.038431     0.070316     0.010809   0.00018927 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   16419     0.030366     0.051056     0.012512    0.0076191 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   16419     0.029516     0.050423     0.012704     0.010084 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   16419     0.032439     0.055894     0.011967    0.0033607 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   16419     0.026707     0.045152     0.012425     0.015804 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   16419    0.0084366      0.01508     0.013346      0.26365 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   16419      0.01628     0.027849     0.013352      0.11138 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   16419    -0.035997    -0.068819     0.019843      0.96516 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   16419   -0.0076271     -0.01629     0.010316      0.77015 Cells_Cultured_fibroblasts
