# MEAN_SAMPLE_SIZE = 24836
# TOTAL_GENES = 19173
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      23     -0.30722    -0.010634      0.16922      0.96526 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      41      0.13682    0.0063205      0.14751      0.17683 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7     -0.19859   -0.0037941      0.37299      0.70278 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      13     0.049226    0.0012814      0.24727       0.4211 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16      0.10445     0.003016      0.21324      0.31214 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13    -0.093946   -0.0024455       0.2711      0.63553 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      41    -0.016344    -0.000755      0.14357      0.54532 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      18    -0.058143   -0.0017807      0.21446      0.60685 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      32      0.22257    0.0090856       0.1485      0.06697 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      28      0.15712    0.0060002      0.15755      0.15932 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20     -0.30689   -0.0099069      0.17856      0.95716 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      26      0.19108     0.007032      0.17473      0.13708 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      42     0.042968    0.0020089      0.13682      0.37674 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     518      0.03667    0.0059455     0.038364      0.16958 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     909     0.024193    0.0051415     0.028828      0.20068 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     163     0.049244    0.0045212     0.071719      0.24616 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     243    0.0046849   0.00052408     0.063091       0.4704 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      97     0.041757    0.0029626     0.087198      0.31602 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     120     0.019306    0.0015226     0.085573      0.41075 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     262     0.062045    0.0072033      0.05115      0.11257 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     813      0.02507    0.0050519     0.030104      0.20249 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     723     0.016695    0.0031803     0.035607      0.31959 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     339     0.013517    0.0017815     0.044921      0.38174 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     161    0.0030131   0.00027495     0.064702      0.48143 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1         SET     110     0.026374     0.001992     0.080653      0.37184 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2         SET      81     0.019729    0.0012797     0.088677      0.41197 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...          SET      71    -0.035866   -0.0021786      0.11197      0.62564 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN                     SET     242      -0.0406   -0.0045325     0.056386      0.76424 AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP                     SET     187    -0.028176   -0.0027691     0.066119      0.66499 AFFAR_YY1_TARGETS_UP
AGARWAL_AKT_PATHWAY_TARGETS              SET      10      -0.2348    -0.005361      0.26784      0.80965 AGARWAL_AKT_PATHWAY_TARGETS
