# MEAN_SAMPLE_SIZE = 24817
# TOTAL_GENES = 17352
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17352  -0.00061701   -0.0012117      0.01416      0.51738
Adrenal_Gland       COVAR   17352   -0.0063903    -0.012338     0.010778      0.72337
Bladder             COVAR   17352    0.0028256    0.0055092     0.016925      0.43371
Blood               COVAR   17352   0.00031933   0.00057346      0.00648      0.48035
Blood_Vessel        COVAR   17352      0.01081     0.021939     0.012306      0.18987
Brain               COVAR   17352     0.028159     0.048922    0.0072059   4.6763e-05
Breast              COVAR   17352    -0.014935    -0.028729     0.016786      0.81318
Cervix_Uteri        COVAR   17352     0.018098     0.035563     0.014888      0.11209
Colon               COVAR   17352    0.0075651     0.014166     0.016578      0.32408
Esophagus           COVAR   17352     0.017512        0.033     0.018084      0.16643
Fallopian_Tube      COVAR   17352     0.020677      0.04013     0.014529     0.077358
Heart               COVAR   17352   -0.0019052    -0.003279    0.0099814      0.57569
Kidney              COVAR   17352   -0.0031233   -0.0054972    0.0098207      0.62477
Liver               COVAR   17352   -0.0084516     -0.01522    0.0067786      0.89376
Lung                COVAR   17352    -0.017801    -0.034431     0.011074      0.94602
Muscle              COVAR   17352    0.0016699     0.003159     0.007152      0.40769
Nerve               COVAR   17352    -0.005569    -0.011213     0.010962      0.69428
Ovary               COVAR   17352      0.01359     0.027555     0.010785      0.10383
Pancreas            COVAR   17352    -0.018533    -0.030989    0.0091184      0.97894
Pituitary           COVAR   17352     0.022815     0.042551     0.008683    0.0043039
Prostate            COVAR   17352    -0.028273    -0.053658     0.014529      0.97416
Salivary_Gland      COVAR   17352    -0.028284    -0.052658     0.011383      0.99351
Skin                COVAR   17352   -0.0090085    -0.017182     0.010568        0.803
Small_Intestine     COVAR   17352    -0.017767    -0.032687     0.011252      0.94282
Spleen              COVAR   17352   -0.0060263    -0.011947    0.0082861      0.76647
Stomach             COVAR   17352    -0.036511    -0.066355     0.014333      0.99457
Testis              COVAR   17352    0.0068387     0.011812    0.0057972      0.11908
Thyroid             COVAR   17352  -0.00049183  -0.00097423     0.011409      0.51719
Uterus              COVAR   17352     0.018562     0.037828     0.012565     0.069804
Vagina              COVAR   17352    -0.010943    -0.020933     0.013374      0.79339
