# MEAN_SAMPLE_SIZE = 32385
# TOTAL_GENES = 16419
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   16419     -0.02736    -0.054345     0.016555      0.95079 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   16419    -0.025666    -0.049587     0.017252      0.93157 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   16419    -0.016641    -0.031956      0.01538      0.86036 Adrenal_Gland
Artery_Aorta                        COVAR   16419    -0.003886    -0.007898      0.01579       0.5972 Artery_Aorta
Artery_Coronary                     COVAR   16419    -0.015485    -0.030681     0.018278      0.80156 Artery_Coronary
Artery_Tibial                       COVAR   16419     0.010795     0.022137     0.015373      0.24128 Artery_Tibial
Bladder                             COVAR   16419    -0.018981    -0.036773       0.0201       0.8275 Bladder
Brain_Amygdala                      COVAR   16419     0.032446     0.054892     0.012072    0.0036017 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   16419     0.039175     0.068701     0.011164   0.00022543 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   16419     0.033579     0.057608     0.012107    0.0027765 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   16419     0.041011     0.081911    0.0093667    6.019e-06 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   16419     0.044019     0.086929     0.009658   2.6052e-06 Brain_Cerebellum
Brain_Cortex                        COVAR   16419     0.042076     0.076169     0.011005   6.6098e-05 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   16419     0.042063     0.076961     0.010603   3.6567e-05 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   16419     0.027628     0.046452     0.012275      0.01221 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   16419     0.029029     0.049591     0.012463    0.0099298 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   16419     0.034382     0.059244     0.011739     0.001704 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   16419     0.028441     0.048083     0.012189    0.0098214 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   16419    0.0090834     0.016236     0.013093      0.24392 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   16419     0.016206     0.027723     0.013099      0.10802 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   16419    -0.073006     -0.13957      0.01946      0.99991 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   16419    0.0021646    0.0046232     0.010121      0.41532 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   16419    0.0069182      0.01507    0.0074868      0.17774 Cells_EBV-transformed_lymphocytes
