# MEAN_SAMPLE_SIZE = 55413
# TOTAL_GENES = 18952
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      23     -0.54954    -0.019133      0.25142      0.98558 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      42     -0.15382   -0.0072334      0.19713      0.78238 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7      0.42715     0.008208      0.49408      0.19365 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      13      0.57785     0.015129      0.34287     0.045969 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16     -0.48456    -0.014074      0.28938      0.95298 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13     -0.33172   -0.0086851      0.34953      0.82869 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      41     0.080303    0.0037311      0.18233      0.32982 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      18     -0.18586   -0.0057254      0.30251      0.73052 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      32      0.17811    0.0073129      0.22395      0.21322 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      28      0.23216    0.0089174      0.24927      0.17584 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20     -0.10713   -0.0034785       0.2702      0.65413 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      26     0.064331    0.0023812       0.2397       0.3942 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      42     0.050258    0.0023634      0.16665      0.38149 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     520    -0.038432   -0.0062782      0.05435      0.76025 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     909      0.07223     0.015435     0.040692     0.037954 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     160     0.089443    0.0081837      0.10479      0.19669 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     242    -0.060745   -0.0068205     0.089353      0.75169 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      95    -0.016655   -0.0011762        0.129      0.55136 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     120     0.081859    0.0064933      0.12273      0.25239 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
