# TOTAL_GENES = 17276
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17276    -0.098753     -0.19697     0.016104            1 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17276     -0.12814     -0.24875      0.01673            1 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17276   -0.0077287    -0.014912     0.014978      0.69707 Adrenal_Gland
Artery_Aorta                        COVAR   17276    -0.065588     -0.13379     0.015292      0.99999 Artery_Aorta
Artery_Coronary                     COVAR   17276    -0.086451     -0.17199     0.017712            1 Artery_Coronary
Artery_Tibial                       COVAR   17276    -0.047755     -0.09828     0.015026      0.99926 Artery_Tibial
Bladder                             COVAR   17276     -0.12279     -0.23914     0.019517            1 Bladder
Brain_Amygdala                      COVAR   17276     0.082276      0.14009     0.011678   9.5996e-13 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17276     0.090868      0.16041      0.01078   1.8792e-17 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17276     0.080571      0.13909     0.011736   3.4321e-12 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17276     0.096126      0.19281    0.0090472   1.3877e-26 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17276     0.096154      0.19079    0.0093222   3.6079e-25 Brain_Cerebellum
Brain_Cortex                        COVAR   17276     0.097951      0.17851     0.010668   2.3698e-20 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17276     0.098627      0.18159     0.010286   5.1046e-22 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17276     0.088975      0.15059     0.011878   3.6023e-14 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17276     0.088879      0.15288     0.012103   1.0905e-13 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17276      0.08462      0.14673     0.011342   4.5186e-14 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17276     0.074046      0.12594     0.011816   1.8882e-10 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17276     0.055611     0.099894     0.012933   8.5876e-06 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17276     0.054535     0.093832     0.012815    1.049e-05 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17276     -0.14846     -0.28529     0.018964            1 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17276  -0.00054827   -0.0011743    0.0096779      0.52259 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17276     0.013749     0.029997    0.0072736     0.029369 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17276    -0.058544     -0.11466      0.01808       0.9994 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17276    -0.061394     -0.12143     0.017249      0.99981 Cervix_Endocervix
Colon_Sigmoid                       COVAR   17276    -0.045127    -0.088236     0.018687      0.99213 Colon_Sigmoid
Colon_Transverse                    COVAR   17276    -0.087025     -0.15992      0.01713            1 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   17276    -0.064032     -0.12599     0.019164      0.99958 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   17276    -0.043297     -0.08366     0.011365      0.99993 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   17276    -0.061627      -0.1215     0.018576      0.99955 Esophagus_Muscularis
Fallopian_Tube                      COVAR   17276    -0.077667     -0.15053     0.017663      0.99999 Fallopian_Tube
