# MEAN_SAMPLE_SIZE = 83724
# TOTAL_GENES = 18514
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      22     -0.61903    -0.021327       0.2315      0.99625 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      40    0.0042615   0.00019787      0.17448      0.49026 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7     0.033015   0.00064187      0.43641      0.46985 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      13      0.49957     0.013234      0.31934     0.058875 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16      -0.2554   -0.0075052      0.29636      0.80559 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13     -0.12856   -0.0034055      0.31309      0.65931 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      40     -0.11776    -0.005468      0.15871      0.77095 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      18     -0.30853   -0.0096158      0.25088       0.8906 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      31     -0.11364   -0.0046462      0.18511      0.73035 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      28      0.34222     0.013299      0.20305     0.045968 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20    -0.078009   -0.0025626      0.21378      0.64241 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      26     -0.16775   -0.0062819      0.22181      0.77525 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      42     0.073372    0.0034908      0.14468      0.30604 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     514    -0.024616   -0.0040444     0.045161      0.70714 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     896     0.016095    0.0034542     0.034293      0.31941 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     149      0.16014     0.014309     0.089885     0.037413 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     241     -0.15829    -0.017942     0.077069         0.98 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      93   -0.0080386  -0.00056832      0.11151      0.52873 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     118    -0.078817   -0.0062724      0.10301      0.77789 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     260     0.035612    0.0041906     0.060739      0.27883 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
