# TOTAL_GENES = 17002
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17002    -0.068978     -0.13723     0.013497            1 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17002    -0.085978     -0.16648     0.013984            1 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17002  -0.00063471   -0.0012218      0.01272       0.5199 Adrenal_Gland
Artery_Aorta                        COVAR   17002    -0.044385    -0.090335     0.012937       0.9997 Artery_Aorta
Artery_Coronary                     COVAR   17002    -0.061705     -0.12243     0.014953      0.99998 Artery_Coronary
Artery_Tibial                       COVAR   17002    -0.024262    -0.049826     0.012635      0.97257 Artery_Tibial
Bladder                             COVAR   17002    -0.066455     -0.12904     0.016538      0.99997 Bladder
Brain_Amygdala                      COVAR   17002     0.053405     0.090639     0.009907   3.5616e-08 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17002     0.061271      0.10782    0.0091208   9.5531e-12 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17002     0.051033     0.087811    0.0099267   1.3833e-07 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17002     0.059153      0.11838    0.0076676   6.4361e-15 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17002     0.060106      0.11897    0.0079044   1.5164e-14 Brain_Cerebellum
Brain_Cortex                        COVAR   17002      0.06333      0.11505    0.0089993    1.022e-12 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17002      0.06625      0.12159    0.0086692   1.1318e-14 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17002     0.048759     0.082252     0.010067   6.4474e-07 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17002     0.058083      0.09954     0.010222   6.7639e-09 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17002     0.054724      0.09458    0.0095953   5.9854e-09 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17002      0.04502     0.076342     0.010018   3.5224e-06 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17002      0.02773     0.049667     0.010843    0.0052768 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17002     0.040414     0.069324     0.010824   9.4617e-05 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17002    -0.081281      -0.1557     0.015854            1 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17002    0.0010571    0.0022607    0.0082942      0.44929 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17002    0.0027936    0.0060905     0.006167      0.32528 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17002    -0.031055    -0.060628      0.01532      0.97867 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17002    -0.022074    -0.043508      0.01464      0.93418 Cervix_Endocervix
Colon_Sigmoid                       COVAR   17002    -0.022011    -0.042921     0.015819      0.91795 Colon_Sigmoid
Colon_Transverse                    COVAR   17002    -0.047884    -0.087723     0.014539       0.9995 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   17002     -0.05061    -0.099321     0.016228      0.99909 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   17002    -0.033896    -0.065304    0.0095635       0.9998 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   17002     -0.04643     -0.09131     0.015728      0.99842 Esophagus_Muscularis
Fallopian_Tube                      COVAR   17002    -0.046562    -0.089926     0.014995      0.99905 Fallopian_Tube
Heart_Atrial_Appendage              COVAR   17002    -0.034314    -0.061429     0.011896      0.99804 Heart_Atrial_Appendage
Heart_Left_Ventricle                COVAR   17002    -0.034381    -0.057252     0.011434      0.99868 Heart_Left_Ventricle
Kidney_Cortex                       COVAR   17002    -0.032117    -0.056265     0.011289      0.99778 Kidney_Cortex
Kidney_Medulla                      COVAR   17002    -0.020161    -0.037147     0.011603      0.95885 Kidney_Medulla
Liver                               COVAR   17002     -0.01696    -0.030488    0.0080218      0.98274 Liver
Lung                                COVAR   17002    -0.067579     -0.13012     0.011508            1 Lung
Minor_Salivary_Gland                COVAR   17002    -0.044854    -0.083153      0.01208       0.9999 Minor_Salivary_Gland
Muscle_Skeletal                     COVAR   17002   -0.0077284    -0.014605    0.0087163      0.81236 Muscle_Skeletal
Nerve_Tibial                        COVAR   17002     -0.02976    -0.059671     0.012731      0.99029 Nerve_Tibial
Ovary                               COVAR   17002    0.0044742     0.009044     0.012213      0.35705 Ovary
Pancreas                            COVAR   17002   -0.0082764    -0.013817     0.010512      0.78444 Pancreas
Pituitary                           COVAR   17002     0.044252      0.08208     0.011323   4.6702e-05 Pituitary
Prostate                            COVAR   17002    -0.043422    -0.082024     0.015048      0.99804 Prostate
Skin_Not_Sun_Exposed_Suprapu...     COVAR   17002    -0.034706    -0.066679    0.0096783      0.99983 Skin_Not_Sun_Exposed_Suprapubic
Skin_Sun_Exposed_Lower_leg          COVAR   17002    -0.035891    -0.069369    0.0097086      0.99989 Skin_Sun_Exposed_Lower_leg
Small_Intestine_Terminal_Ile...     COVAR   17002    -0.054158    -0.099172      0.01206            1 Small_Intestine_Terminal_Ileum
Spleen                              COVAR   17002    -0.032396    -0.064023    0.0092109      0.99978 Spleen
Stomach                             COVAR   17002    -0.048473    -0.087759     0.015113      0.99933 Stomach
Testis                              COVAR   17002    0.0052858    0.0090831    0.0070415      0.22643 Testis
Thyroid                             COVAR   17002    -0.025913    -0.051128     0.012176      0.98333 Thyroid
Uterus                              COVAR   17002    -0.020459    -0.041539     0.013797      0.93093 Uterus
Vagina                              COVAR   17002    -0.050534    -0.096216     0.013803      0.99987 Vagina
Whole_Blood                         COVAR   17002    -0.012562    -0.022687    0.0070466      0.96267 Whole_Blood
