# MEAN_SAMPLE_SIZE = 88076
# TOTAL_GENES = 18375
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      22      -0.7868    -0.027209      0.35777      0.98606 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      38    -0.020191  -0.00091727      0.26504      0.53036 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7      0.22955    0.0044795       0.6345      0.35876 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      13      0.84632     0.022503      0.45295     0.030858 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16     -0.12587   -0.0037126      0.40006      0.62347 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13      0.11666     0.003102      0.41164      0.38844 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      39     -0.17299   -0.0079616      0.25547      0.75084 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      18    -0.069803   -0.0021837      0.37109       0.5746 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      31      0.12699    0.0052119      0.27181      0.32018 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      28      0.58124     0.022673      0.29964      0.02621 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20     -0.21216   -0.0069957      0.31887      0.74708 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      26     0.036614    0.0013763       0.3307      0.45592 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
