# MEAN_SAMPLE_SIZE = 47485
# TOTAL_GENES = 16907
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   16907     -0.10671     -0.20862     0.024613      0.99999
Adrenal_Gland       COVAR   16907     0.029731     0.057175     0.018953     0.058373
Bladder             COVAR   16907    -0.034651    -0.067194     0.029535      0.87963
Blood               COVAR   16907   -0.0068039    -0.012198     0.011277      0.72685
Blood_Vessel        COVAR   16907     0.015773     0.031885     0.021566      0.23228
Brain               COVAR   16907      0.15479       0.2674     0.012654   1.5077e-34
Breast              COVAR   16907     -0.11679     -0.22346     0.029155      0.99997
Cervix_Uteri        COVAR   16907     0.035731     0.069809     0.026168     0.086066
Colon               COVAR   16907     0.035659     0.066421     0.029112      0.11032
Esophagus           COVAR   16907    -0.022708    -0.042568     0.031345       0.7656
Fallopian_Tube      COVAR   16907    -0.024331    -0.046927      0.02564      0.82867
Heart               COVAR   16907    -0.040035    -0.068627       0.0177      0.98814
Kidney              COVAR   16907    -0.061943     -0.10852     0.017268      0.99983
Liver               COVAR   16907    -0.037823    -0.067934     0.011977       0.9992
Lung                COVAR   16907     -0.12499     -0.24038      0.01941            1
Muscle              COVAR   16907   -0.0012244   -0.0023121     0.012664      0.53851
Nerve               COVAR   16907     0.022582     0.045223     0.019172      0.11944
Ovary               COVAR   16907     0.072871      0.14714     0.018883   5.7157e-05
Pancreas            COVAR   16907    -0.017678    -0.029481     0.016036      0.86484
Pituitary           COVAR   16907      0.13636      0.25257      0.01525   2.1355e-19
Prostate            COVAR   16907   -0.0042619   -0.0080404     0.025472      0.56644
Salivary_Gland      COVAR   16907    -0.074419     -0.13782     0.019871      0.99991
Skin                COVAR   16907   -0.0081414    -0.015454      0.01841      0.67084
Small_Intestine     COVAR   16907    -0.070707     -0.12929     0.019699      0.99983
Spleen              COVAR   16907    -0.058547     -0.11556     0.014394      0.99998
Stomach             COVAR   16907    -0.050893    -0.092035     0.025064      0.97884
Testis              COVAR   16907     0.025882     0.044415     0.010177    0.0054989
Thyroid             COVAR   16907    -0.031102    -0.061299     0.019881      0.94113
Uterus              COVAR   16907     0.055658      0.11287     0.022046    0.0057956
Vagina              COVAR   16907    -0.035397    -0.067312      0.02317      0.93669
