# TOTAL_GENES = 18841
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      23     -0.25717     -0.00898      0.23121      0.86698 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      41     0.063862    0.0029759      0.17784      0.35977 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7      0.47571    0.0091678       0.4455      0.14281 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      13      0.54088     0.014203      0.31197      0.04149 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16    -0.044183    -0.001287      0.25229      0.56951 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13     -0.30475   -0.0080025       0.3114      0.83612 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      41    -0.020248  -0.00094352      0.16115      0.54999 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      18      -0.4319    -0.013344       0.2598      0.95178 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      32     -0.28827     -0.01187      0.18903      0.93636 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      28      0.22434    0.0086422      0.20638      0.13852 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20    0.0098876   0.00032198      0.23033      0.48288 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      26     -0.17287   -0.0064177      0.22329      0.78059 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      42    -0.014176  -0.00066856      0.14609      0.53865 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     520   -0.0013644  -0.00022353     0.045199      0.51204 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     908   -0.0052437   -0.0011231     0.034126      0.56106 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     160     0.087427    0.0080225     0.091442      0.16952 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     243     0.077481    0.0087425     0.075392      0.15205 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      95    -0.090379   -0.0064016      0.11228      0.78956 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     120    -0.028251   -0.0022475      0.10526       0.6058 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     262    -0.024657   -0.0028874      0.06004      0.65934 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     810     0.037973    0.0077026     0.034986      0.13888 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     716    -0.069383    -0.013267     0.043194      0.94589 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     339   -0.0077605   -0.0010316      0.05217      0.55912 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     161     0.062082    0.0057144     0.077637      0.21196 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1         SET     109     0.053947    0.0040915     0.095359      0.28579 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2         SET      81     -0.03722   -0.0024352      0.11278      0.62931 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...          SET      71      0.10975    0.0067246      0.13169      0.20231 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN                     SET     238     -0.13494    -0.015071     0.068987      0.97476 AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP                     SET     187        0.156     0.015465     0.077621     0.022235 AFFAR_YY1_TARGETS_UP
AGARWAL_AKT_PATHWAY_TARGETS              SET      10      0.05223     0.001203       0.3755      0.44469 AGARWAL_AKT_PATHWAY_TARGETS
AGUIRRE_PANCREATIC_CANCER_CO...1         SET     231    -0.067325   -0.0074091     0.072745      0.82264 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
AGUIRRE_PANCREATIC_CANCER_CO...2         SET     292     0.024782    0.0030613     0.064284      0.34993 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
AIGNER_ZEB1_TARGETS                      SET      33     -0.19667    -0.008224      0.19936      0.83806 AIGNER_ZEB1_TARGETS
AIYAR_COBRA1_TARGETS_DN                  SET      28    -0.097966   -0.0037739      0.18638      0.70042 AIYAR_COBRA1_TARGETS_DN
AIYAR_COBRA1_TARGETS_UP                  SET      38       0.1056    0.0047379      0.17456      0.27261 AIYAR_COBRA1_TARGETS_UP
AKL_HTLV1_INFECTION_DN                   SET      63     -0.18518     -0.01069      0.13959      0.90766 AKL_HTLV1_INFECTION_DN
AKL_HTLV1_INFECTION_UP                   SET      26      0.43523     0.016157      0.20508     0.016914 AKL_HTLV1_INFECTION_UP
ALCALAY_AML_BY_NPM1_LOCALIZA...1         SET     178     0.072242    0.0069888     0.078918      0.17999 ALCALAY_AML_BY_NPM1_LOCALIZATION_DN
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     131    -0.050581   -0.0042031     0.098899      0.69548 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84    -0.053175   -0.0035427      0.11293      0.68113 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     231   0.00097475   0.00010727     0.068125      0.49429 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      24      0.14769    0.0052679      0.20398      0.23452 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5      0.19319    0.0031468      0.55356      0.36355 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33     -0.35923    -0.015022      0.18249      0.97549 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16      -0.3514    -0.010236      0.26951      0.90385 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     180     -0.11947    -0.011621     0.076759      0.94018 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     114     0.018188    0.0014105       0.1031      0.42999 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     104   -0.0074198  -0.00054975      0.10293      0.52873 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18      0.55025        0.017      0.25952        0.017 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      65    -0.086224   -0.0050559       0.1211      0.76177 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      40    -0.090855   -0.0041819      0.16556      0.70842 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      10      0.25731    0.0059266      0.37254      0.24488 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12     -0.12087   -0.0030496      0.28953      0.66183 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      59      0.12482    0.0069738      0.13547      0.17844 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      21     0.028431   0.00094866      0.23372      0.45159 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      42     0.085517    0.0040332      0.17556       0.3131 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      17       0.8209     0.024648      0.28036    0.0017079 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     161    -0.004758  -0.00043796      0.08176       0.5232 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      43     -0.19392   -0.0092537      0.16025      0.88687 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      44     0.013956   0.00067368      0.17996      0.46909 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      37      -0.1006    -0.004454      0.18659      0.70512 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      63     0.044431     0.002565      0.13684      0.37271 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      16      0.33365     0.009719       0.2886      0.12383 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      55      0.10172     0.005488      0.15094      0.25018 AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A            SET      30      0.41924     0.016716      0.19359     0.015178 AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF1...          SET      34      0.13815    0.0058634      0.17495      0.21488 AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A            SET      56     0.010763   0.00058591      0.15801      0.47285 AMIT_SERUM_RESPONSE_60_MCF10A
AMUNDSON_DNA_DAMAGE_RESPONSE...          SET      16     -0.25463   -0.0074174      0.28467      0.81446 AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
AMUNDSON_RESPONSE_TO_ARSENITE            SET     204     0.098353     0.010179     0.071513     0.084524 AMUNDSON_RESPONSE_TO_ARSENITE
ANASTASSIOU_MULTICANCER_INVA...          SET      62     -0.21655    -0.012402      0.14201      0.93635 ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
ANDERSEN_CHOLANGIOCARCINOMA_...1         SET      61     -0.18347    -0.010423      0.13031      0.92043 ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
ANDERSEN_CHOLANGIOCARCINOMA_...2         SET     172     -0.13722    -0.013051     0.079434      0.95795 ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
ANDERSEN_LIVER_CANCER_KRT19_...1         SET      73     -0.14036   -0.0087202      0.11372      0.89145 ANDERSEN_LIVER_CANCER_KRT19_DN
ANDERSEN_LIVER_CANCER_KRT19_...2         SET      33      0.13451    0.0056244      0.15887      0.19861 ANDERSEN_LIVER_CANCER_KRT19_UP
APPEL_IMATINIB_RESPONSE                  SET      32      -0.2555    -0.010521      0.18564      0.91562 APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETI...1         SET      49  -0.00075202  -3.8302e-05       0.1389      0.50216 APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETI...2         SET      38     0.027381    0.0012284      0.16078      0.43239 APPIERTO_RESPONSE_TO_FENRETINIDE_UP
APRELIKOVA_BRCA1_TARGETS                 SET      45     0.024507    0.0011963      0.15143      0.43572 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      40     0.027014    0.0012434      0.15446      0.43058 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      53    -0.077311   -0.0040948      0.14442      0.70378 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     150      0.15318     0.013613     0.084883     0.035581 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISOR...2         SET      45     0.075115    0.0036667      0.15596      0.31504 ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
AUJLA_IL22_AND_IL17A_SIGNALI...          SET       9      -0.1248   -0.0027271       0.3152      0.65392 AUJLA_IL22_AND_IL17A_SIGNALING
AUNG_GASTRIC_CANCER                      SET      48      -0.1146   -0.0057771       0.1468      0.78249 AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMAT...1         SET      18     -0.38037    -0.011751       0.2369      0.94581 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMAT...2         SET     116    -0.023806   -0.0018623      0.10143      0.59278 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS                      SET      23     0.086451    0.0030187      0.24698      0.36316 AZARE_STAT3_TARGETS
BACOLOD_RESISTANCE_TO_ALKYLA...1         SET      46    -0.079716   -0.0039342      0.15838      0.69263 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN
BACOLOD_RESISTANCE_TO_ALKYLA...2         SET      23     -0.01372  -0.00047907      0.21669      0.52524 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP
BAELDE_DIABETIC_NEPHROPATHY_...1         SET     412     0.016127    0.0023587     0.053898      0.38239 BAELDE_DIABETIC_NEPHROPATHY_DN
BAELDE_DIABETIC_NEPHROPATHY_...2         SET      82    -0.050087   -0.0032972      0.12071      0.66091 BAELDE_DIABETIC_NEPHROPATHY_UP
BAE_BRCA1_TARGETS_DN                     SET      29      0.16288    0.0063853      0.21304      0.22228 BAE_BRCA1_TARGETS_DN
BAE_BRCA1_TARGETS_UP                     SET      64    0.0040669   0.00023663      0.12835      0.48736 BAE_BRCA1_TARGETS_UP
BAFNA_MUC4_TARGETS_UP                    SET       3    -0.086207   -0.0010878      0.60667       0.5565 BAFNA_MUC4_TARGETS_UP
BAKER_HEMATOPOESIS_STAT1_TAR...          SET      10       0.5345     0.012311      0.36762     0.072992 BAKER_HEMATOPOESIS_STAT1_TARGETS
BAKER_HEMATOPOESIS_STAT5_TAR...          SET       7     -0.35698   -0.0068798      0.45984      0.78121 BAKER_HEMATOPOESIS_STAT5_TARGETS
