# MEAN_SAMPLE_SIZE = 88076
# TOTAL_GENES = 18375
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      22     -0.77567    -0.026824      0.36158      0.98403 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      38     -0.17523   -0.0079608      0.26786      0.74351 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7      0.91724       0.0179      0.64122     0.076301 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      13      0.78212     0.020797      0.45778      0.04378 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16     0.060019    0.0017703      0.40432        0.441 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13     -0.15231     -0.00405      0.41602      0.64286 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      39     -0.10797   -0.0049692      0.25819      0.66209 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      18      0.11093    0.0034703      0.37504       0.3837 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      31    -0.029728     -0.00122      0.27471      0.54309 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      28      0.65485     0.025544      0.30282     0.015297 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20     0.055405    0.0018269      0.32227      0.43175 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      26     -0.12117   -0.0045549      0.33422      0.64153 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      41      0.37861     0.017865      0.21835     0.041475 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     511    0.0039248   0.00064536     0.067618      0.47686 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     891      0.12219     0.026247     0.050839    0.0081254 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     148    0.0016237   0.00014514      0.14158      0.49542 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     239     -0.19937     -0.02259      0.11309      0.96104 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      92    -0.092951   -0.0065608      0.16581      0.71246 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     116      0.12195    0.0096593      0.15292      0.21258 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     259    -0.046626   -0.0054966     0.089425      0.69895 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     789      0.15344     0.031106     0.054089    0.0022812 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     697    -0.036711   -0.0070131     0.063461      0.71852 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     333     -0.05286   -0.0070514     0.081087      0.74276 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     160     0.014662    0.0013623      0.11489      0.44923 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1         SET     108      0.19312     0.014762      0.15283      0.10319 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2         SET      80     0.069805     0.004596      0.16396      0.33515 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...          SET      67      0.17062     0.010284      0.20329      0.20066 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN                     SET     236    -0.044995   -0.0050666      0.10111      0.67184 AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP                     SET     186    -0.078861   -0.0078942      0.11676      0.75029 AFFAR_YY1_TARGETS_UP
AGARWAL_AKT_PATHWAY_TARGETS              SET      10     -0.98108    -0.022881      0.55088      0.96253 AGARWAL_AKT_PATHWAY_TARGETS
AGUIRRE_PANCREATIC_CANCER_CO...1         SET     227      0.15382     0.016992      0.11201     0.084829 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
AGUIRRE_PANCREATIC_CANCER_CO...2         SET     288     0.022912     0.002846     0.095619      0.40531 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
AIGNER_ZEB1_TARGETS                      SET      33     -0.12612   -0.0053401      0.29793      0.66396 AIGNER_ZEB1_TARGETS
