run_id	ancestry	model	direction_class	input_query_genes	input_background_genes	background_scope	n_returned_terms	n_significant_terms	min_adjusted_p	query_sizes_across_sources	effective_domain_sizes_across_sources	correction_method	user_threshold	database_release	raw_file	original_csv_sha256
EAS_FOURTRAIT_all	EAS	EAS_4TRAIT	all_mapped_genes	142	NA	not_recorded	15161	7	0.004817372742938979	18;30;47;50;68;75;103;105;109;113	3383;5200;8716;8899;11007;11056;16638;20093;20208;20972;22155	g_SCS	0.05	not_recorded	results/gprofiler/raw/gProfiler_EAS_PLEIO_4trait_allgenes_intersections.csv.gz	3231f5a2747e00996b255668fb59c4c4f51264c50ddd13b6390095027e8b078d
EAS_MDD_3TRAIT_all	EAS	EAS_MDD_EA_CF	all_mapped_genes	37	NA	not_recorded	7214	31	0.00025317144244638515	1;2;8;11;13;18;22	3383;5200;8716;8899;11007;11056;16638;20093;20208;20972;22155	g_SCS	0.05	not_recorded	results/gprofiler/raw/gProfiler_EAS_PLEIO_3traitMDD_allgenes__intersections.csv.gz	dba06daf1f1bde5dae9d5a10b54a5702b92546cad9b2a84057506be72a9286d7
EAS_SCZ_3TRAIT_all	EAS	EAS_SCZ_EA_CF	all_mapped_genes	148	NA	not_recorded	15947	11	3.866494611619882e-05	19;35;52;53;74;78;106;110;115;117	3383;5200;8716;8899;11007;11056;16638;20093;20208;20972;22155	g_SCS	0.05	not_recorded	results/gprofiler/raw/gProfiler_EAS_PLEIO_3traitSCZ_allgenes_.csv.gz	443cd7e26fae0923b1776e589d71523e074c4b202fb55e36d94ea8caf569ccf9
EUR_FOURTRAIT_concordant	EUR	FOURTRAIT	concordant	1093	3166	custom	29754	0	0.1061098185234586	226;308;416;437;565;575;894;921;925;935;968	573;846;1268;1328;1645;1727;2592;2597;2676;2701;2813	g_SCS	0.05	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_4trait_conc__intersections.csv.gz	2a041087a7a6cb14f7c36b22a9693421be7fe08ec72d38015adebe6a4b15dfa8
EUR_FOURTRAIT_discordant	EUR	FOURTRAIT	discordant	441	3166	custom	22105	2	9.089633699765223e-07	58;105;173;214;242;351;359;366;369;383	573;846;1268;1328;1645;1727;2592;2597;2676;2701;2813	g_SCS	0.05	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_4trait_disc___intersections.csv.gz	917bd42627f6b1bef6490d51dc2b91ec76e9b94fa5323f48e660ff4280be56b3
EUR_FOURTRAIT_dual	EUR	FOURTRAIT	dual	519	3166	custom	23887	0	0.9264978902296019	102;132;205;233;264;288;417;421;425;434;454	573;846;1268;1328;1645;1727;2592;2597;2676;2701;2813	g_SCS	0.05	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_4trait_dual__intersections.csv.gz	bc683176aaf09e782ca8da391a4f2b5a2082d6c31d97a2878659391616b87bcc
EUR_MDD_3TRAIT_concordant	EUR	MDD_3TRAIT	concordant	1143	2654	custom	29725	0	0.0750586441032399	223;325;424;454;573;591;902;933;940;951;981	573;846;1268;1328;1645;1727;2592;2597;2676;2701;2813	g_SCS	0.05	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_3traitMDD_conc__intersections.csv.gz	1cd99a5c3b6251c50b88ce02069fe9c9e8602ba51e787d1ec74dfe5190744fb2
EUR_MDD_3TRAIT_discordant	EUR	MDD_3TRAIT	discordant	374	2654	custom	21235	5	1.0757972331815111e-13	325	2370	g_SCS	0.05	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_3traitMDD_disc.csv.gz	d68002c648d869b30610f0fb9ec714cf381951d15164b51a1a09f5e9a828bde4
EUR_MDD_3TRAIT_dual	EUR	MDD_3TRAIT	dual	369	2654	custom	21722	0	0.1203533476447063	335	2370	g_SCS	0.05	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_3traitMDD_dual__intersections.csv.gz	756be758a7e508fd5ece8078bfd1d28edc1849e12dc7e4a7e1554680dc25a257
EUR_SCZ_3TRAIT_concordant	EUR	SCZ_3TRAIT	concordant	756	2689	custom	26991	0	0.07022304004859091	169;208;286;322;401;410;605;612;617;625;649	573;846;1268;1328;1645;1727;2592;2597;2676;2701;2813	g_SCS	0.05	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_3traitSCZ_conc__intersections.csv.gz	102f18f92952a9f8f6a88d156d5dc75bd65d77f5b0962768c572039174ac9a9e
EUR_SCZ_3TRAIT_discordant	EUR	SCZ_3TRAIT	discordant	533	2689	custom	22901	1	2.4137678985488723e-05	75;125;186;208;262;292;400;419;422;438	573;846;1268;1328;1645;1727;2592;2597;2676;2701;2813	g_SCS	0.05	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_3traitSCZ_disc__intersections.csv.gz	0592a4cc27cedd9d7d83636307496af22c5035bf09b761c8888137f6288aa53e
EUR_SCZ_3TRAIT_dual	EUR	SCZ_3TRAIT	dual	558	2689	custom	24164	4	6.825258463627083e-11	502	2414	g_SCS	0.05	not_recorded	results/gprofiler/raw/gProfiler_hsapiens_3traitSCZ_dual__intersections.csv.gz	bc90d2e4efc5828de7fb9461920d5a2774b1efad0616974baa872f4ecc28c9d9
